SMILES,Structure,Species,MIC
O=C(O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,,S.aureus,3.125
O=C(CNN1C(=O)CSC1C1=C(Cl)C=CC=C1)NN1C(C2=CC=C([N+](=O)[O-])C=C2)=NN[C@@H]1S,,S.aureus,6.25
O=C1C(C(O)=O)=CN(C2=NC(N3C/C(C(C3)CN)=N\OC)=C(C=C12)F)C4CC4,,S.aureus,12.5
S[C@@H]1N(NC(CNN2C(SCC2=O)C3=C(Cl)C=CC=C3)=O)C(C4=CC=C(Cl)C=C4)=NN1,,S.aureus,25
C[C@H]1COC2=C3C(=CC(F)=C2N2CCN(C)CC2)C(=O)C(C(=O)O)=CN31,,S.aureus,12.5
CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CC=NC=C2)N1C,,S.aureus,738
CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CC=CN=C2)N1C1=CC=CC=C1,,S.aureus,1569
COC1=CC=C(N2C(SCCN3C([N+](=O)[O-])=CN=C3C)=NN=C2C2=CC=NC=C2)C=C1,,S.aureus,188
CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CN=CC=C2)N1C1=C2C=CC=CC2=CC=C1,,S.aureus,250
[H]C1=C([H])C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T1,S.aureus,50
[H]C1=C(C=O)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T2，R4=CHO,S.aureus,25
[H]C1=C(C)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T3，R4=CH3,S.aureus,25
[H]C1=C(OC)C(OC)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T4，R3，R4=OCH3,S.aureus,25
[H]C1=C(OC)C(OC)=C(OC)C=C1/C=N\N1C(S)=NN=C1CCCCCCCCCCCCCCC,T5，R3，R4，R5=OCH3,S.aureus,12.5
[H]C1=C(OC)C(O)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T6，R3=OH，R4=OCH3,S.aureus,50
[H]C1=C([H])C([H])=C(O)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T7，R2=OH,S.aureus,50
[H]C1=C(O)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T8，R4=OH,S.aureus,50
[H]C1=C(N(C)C)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T9，R4=N(CH3)2,S.aureus,25
[H]C1=CC([H])=C(Cl)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T10，R2=Cl,S.aureus,25
[H]C1=C(Cl)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T11，R4=Cl,S.aureus,25
[H]C1=C(Cl)C([H])=C(Cl)C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T12，R2，R4=Cl,S.aureus,50
[H]C1=C([H])C(Br)=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T13，R3=Br,S.aureus,50
[H]C1=C(Br)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T14，R4=Br,S.aureus,25
[H]C1=C([H])C([H])=C([N+](=O)[O-])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T15，R2=NO2,S.aureus,25
[H]C1=C([H])C([N+](=O)[O-])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,T16，R3=NO2,S.aureus,50
[H]C1=C([N+](=O)[O-])C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,"T17, R1=H,R2=4-NO2",S.aureus,25
CCCCCCCCCCCCCCCC1=NN=C(S)N1/N=C/C1=CC=C(OC2=CC=CC=C2)C=C1,T18，R1=C12H10O,S.aureus,50
CCCCCCCCCCCCCCCC1=NN=C(S)N1/N=C/C1=CC=C2CC=CCC2=C1,T19，R1=C10H10,S.aureus,50
CCCCCCCCCCCCCCCC1=NN=C(S)N1/N=C/C1=CC=C(O)C=C1,T20，R1=C6H6O,S.aureus,25
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1[H],"6a，R1=H, R2=H, R3 =H, R4=H",S.aureus,250
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C(O)C([H])=C1[H],"6b，R1=OH, R2=H, R3=H, R4=H",S.aureus,250
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C(O)=C1[H],"6c，R1=H, R2=OH, R3 =H, R4=H",S.aureus,250
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C(OC)C([H])=C1[H],"6d，R1=OCH3, R2=H, R3 =H, R4=H",S.aureus,250
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1OC,"6e，R1=H, R2=H, R3 =OCH3, R4=H",S.aureus,250
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1Cl,"6f，R1=H, R2=H, R3 =Cl, R4=H",S.aureus,250
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1F,"6g，R1=H, R2=H, R3 =F, R4=H",S.aureus,250
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1C,"6h，R1=H, R2=H, R3 =CH3, R4=H",S.aureus,250
[H]C1=C([H])C(O)=C(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)C=C1Cl,"6i，R1=OH, R2=H, R3 =H, R4=Cl",S.aureus,125
[H]C1=C([H])C(O)=C(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)C=C1OC,"6j，R1=OH, R2=H, R3 =H, R4=OCH3",S.aureus,125
[H]N1N=C(CC2=C(C)N([H])C3=CC=C(F)C=C32)N(/N=C/C2=CC(OC)=C(O)C=C2)C1=S,"6k， R1=H, R2=OCH3, R3 =OH, R4=H",S.aureus,250
[H]N1N=C(CC2=C(C)N([H])C3=CC=C(F)C=C32)N(/N=C/C2=CC(OC=O)=C(OC=O)C=C2)C1=S,"6l，R1=H, R2,R3=OCH2O, R4=H",S.aureus,250
SC1=NN=C(C2=CC=C(N)C=C2)N1N,S1,S.aureus,250
SC1=NN=C(C2=CC=C(N)C=C2)O1,S2,S.aureus,62.5
SC1=NN=C(C2=CC=C(N=CC3=CC=CS3)C=C2)N1N=CC4=CC=CS4,SS1,S.aureus,250
OC1=CC=C(C=NC2=CC=C(C3=NN=C(S)N3N=CC4=CC=C(O)C=C4)C=C2)C=C1,SS2,S.aureus,250
O=[N+](C1=CC(C=NC2=CC=C(C3=NN=C(S)N3N=CC4=CC=CC([N+]([O-])=O)=C4)C=C2)=CC=C1)[O-],SS3,S.aureus,125
SC1=NN=C(C2=CC=C(N=CC3=CC=C(Cl)C=C3)C=C2)N1N=CC4=CC=C(Cl)C=C4,SS4,S.aureus,250
SC1=NN=C(C2=CC=C(N=CC3=CC=C(OC)C=C3)C=C2)N1N=CC4=CC=C(OC)C=C4,SS5,S.aureus,250
SC1=NN=C(C2=CC=C(N=CC3=CC=CS3)C=C2)O1,SS6,S.aureus,200
OC1=CC=C(C=NC2=CC=C(C3=NN=C(S)O3)C=C2)C=C1,SS7,S.aureus,200
SC1=NN=C(C2=CC=C(N=CC3=CC=CC([N+]([O-])=O)=C3)C=C2)O1,SS8,S.aureus,125
SC1=NN=C(C2=CC=C(N=CC3=CC=C(Cl)C=C3)C=C2)O1,SS9,S.aureus,250
SC1=NN=C(C2=CC=C(N=CC3=CC=C(OC)C=C3)C=C2)O1,SS10,S.aureus,250
ClC1=CC=C(C2=NN=C(C3=CC=CN=C3)O2)C=C1,,S.aureus,500
FC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,9a，R1=6-F,S.aureus,200
BrC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,"9b，R1=6-Br,",S.aureus,100
O=[N+](C1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1)[O-],9c，R1=6-NO2,S.aureus,500
CC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,9d，R1=6-CH3,S.aureus,1000
COC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,9e，R1=6-OCH3,S.aureus,250
ClC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,9f，R1=6-Cl,S.aureus,100
CC1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1,9g，R1=4-CH3,S.aureus,200
O=[N+](C1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1)[O-],9h，R1=4-NO2,S.aureus,100
ClC1=C(Cl)C=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,"9i，R1=5-Cl,6-Cl",S.aureus,250
ClC1=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=CC=C1,9j，R1=4-Cl,S.aureus,200
O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(C4=CC=CC=C4)=C3,6a,S.aureus,15.6
O=C(O[C@H]1[C@](OC[C@H]2O)([H])[C@]2([H])OC1)CCCCCCCCC(O)CN3N=NC(C4=CC=CC(O)=C4)=C3,6b,S.aureus,15.6
O=C1C=C(CN2N=NC(C(C)(C)C)=C2)C3=C(O1)C=C(O)C=C3,,S.aureus,256
O=C1C=C(C2=C(C=C(C=C2)O)O1)CN3N=NC(CCCCCCCC)=C3,,S.aureus,256
O=C1C=C(CN2N=NC(C3=CC=C(Br)C=C3)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
O=C1C=C(CN2N=NC(C3=CC=C(CCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
O=C1C=C(CN2N=NC(C3=CC=C(CCCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
O=C1C=C(CN2N=NC(C3=CC=C(CCCCCC)C=C3)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
O=C1C=C(CN2N=NC(C3=CC=C(C4CCC(CCC)CC4)C=C3)=C2)C5=C(O1)C=C(O)C=C5,,S.aureus,256
O=C1C=C(CN2N=NC(CNS(=O)(C3=CC=C(C)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
O=C1C=C(CN2N=NC(CNS(=O)(C3=CC=C(F)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
O=C1C=C(CN2N=NC(CNS(=O)(C3=C(Cl)C=C(F)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
O=C1C=C(CN2N=NC(CNS(=O)(C3=CC=C([N+]([O-])=O)C=C3)=O)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
O=C1C=C(CN2N=NC(CSC(N3CCOCC3)=S)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
O=C1C=C(CN2N=NC(CSC(N3CCNCC3)=S)=C2)C4=C(O1)C=C(O)C=C4,,S.aureus,256
CN(C1=C(SC2=C3)C=CC=C1)C2=CC=C3COC4=CN(N=N4)CC5=CC=C(C=C5)C,,S.aureus,50
CN(C1=C(SC2=C3)C=CC=C1)C2=CC=C3COC4=CN(N=N4)CC5=CC=C(C=C5)[N+]([O-])=O,,S.aureus,25
CN1C2=C(C=CC=C2)SC3=CC(COCC4=CN(CC5=CC=CC=C5F)N=N4)=CC=C13,,S.aureus,25
CN1C2=C(SC3=CC(COCC4=CN(N=N4)CC5=CC=C(O)C=C5)=CC=C13)C=CC=C2,,S.aureus,50
N#CC1=CC=C(CN2N=NC(COCC3=CC=C4N(C)C5=C(C=CC=C5)SC4=C3)=C2)C=C1,,S.aureus,12.5
CN1C2=C(C=CC=C2)SC3=CC(COCC4=CN(CC5=CC=C(OC)C=C5)N=N4)=CC=C13,,S.aureus,50
CN1C2=C(C=CC=C2)SC3=CC(COCC4=CN(CC5=CC=C(F)C=C5)N=N4)=CC=C13,,S.aureus,25
CN(C1=C(SC2=C3)C=CC=C1)C2=CC=C3/C=N/OC4=C(NN=N4)CC5=CC=C(C=C5)C,,S.aureus,25
CN(C1=C(SC2=C3)C=CC=C1)C2=CC=C3/C=N/OC4=C(NN=N4)CC5=CC=C(C=C5)[N+]([O-])=O,,S.aureus,25
CN(C(/C=C\C)=CSC1=C2)C1=CC=C2/C=N/OC3=C(NN=N3)CC4=CC=CC=C4F,,S.aureus,12.5
CN(C1=C(SC2=C3)C=CC=C1)C2=CC=C3/C=N/OC4=CN(N=N4)CC5=CC=C(O)C=C5,,S.aureus,50
N#CC1=CC=C(CN2N=NC(CO/N=C/C3=CC=C4N(C)C5=C(C=CC=C5)SC4=C3)=C2)C=C1,,S.aureus,12.5
COC1=CC=C(C=C1)CC2=C(CO/N=C/C3=CC=C4N(C)C5=C(C=CC=C5)SC4=C3)N=NN2,,S.aureus,50
FC1=CC=C(C=C1)CC2=C(CO/N=C/C3=CC=C4N(C)C5=C(C=CC=C5)SC4=C3)N=NN2,,S.aureus,12.5
CC1=CC=C(C=C1)CN2N=NC(CN3C4=C(C=CC=C4)SC5=CC=CC=C35)=C2,,S.aureus,50
O=[N+](C1=CC=C(C=C1)CN2N=NC(CN3C4=C(C=CC=C4)SC5=CC=CC=C35)=C2)[O-],,S.aureus,50
FC1=CC=CC=C1CN2N=NC(CN3C4=C(C=CC=C4)SC5=CC=CC=C35)=C2,,S.aureus,12.5
OC(C=C1)=CC=C1CN(N=N2)C=C2CN3C4=CC=CC=C4SC5=C3C=CC=C5,,S.aureus,50
N#CC1=CC=C(CN2N=NC(CN3C4=C(C=CC=C4)SC5=CC=CC=C35)=C2)C=C1,,S.aureus,6.25
COC1=CC=C(C=C1)CN2N=NC(CN3C4=C(C=CC=C4)SC5=CC=CC=C35)=C2,,S.aureus,25
FC1=CC=C(C=C1)CN2N=NC(CN3C4=C(C=CC=C4)SC5=CC=CC=C35)=C2,,S.aureus,12.5
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CN=CC=C6,,S.aureus,12.5
O=C(C1=NC=CN=C1)N/N=C/C2=CC=C3N(CC4=CN(CC5=CC=C(C#N)C=C5)N=N4)C6=C(C=CC=C6)SC3=C2,,S.aureus,50
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=NC=C6,,S.aureus,12.5
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CN=CC=C6,,S.aureus,50
O=C(C1=NC=CN=C1)N/N=C/C2=CC=C3N(CC4=CN(CC5=CC=C(C#N)C=C5)N=N4)C6=C(C=CC(C(F)(F)F)=C6)SC3=C2,,S.aureus,50
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=NC=C6,,S.aureus,50
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=C([N+]([O-])=O)C=C6,,S.aureus,25
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=CC=C6,,S.aureus,12.5
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=C(F)C=C6,,S.aureus,6.25
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=C(C)C=C6,,S.aureus,25
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=C([N+]([O-])=O)C=C6,,S.aureus,25
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=CC=C6,,S.aureus,50
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=C(F)C=C6,,S.aureus,6.25
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC(C(F)(F)F)=C5)SC2=C1)C6=CC=C(C)C=C6,,S.aureus,25
O=C1N(C2=CC=CC(OCC3=CN(C4=CC=C(Cl)C=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C(C)=NC2=C1C=CC=C2)C3=CC=CC(OC4=CN(N=N4)C5=CC=C(C(Cl)=C5)F)=C3,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC=CC(C)=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC=CC(O)=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC=C(O)C=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC=C(OC)C=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC=CC(C(O)=O)=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC=C(C(O)=O)C=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC([N+]([O-])=O)=C(C)C=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C(C)=NC2=C1C=CC=C2)C3=CC=CC(OCC4=CN(N=N4)C5=C(C=C(C=C5)[N+]([O-])=O)C)=C3,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC(C)=C(C)C(C)=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC(OC)=C(OC)C(OC)=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(OCC3=CN(C4=CC(Cl)=CC=C4)N=N3)=C2)C(C)=NC5=C1C=CC=C5C,,S.aureus,64
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=CC(Cl)=C5)=C3)=NC6=C(C2=O)C=CC=C6,,S.aureus,0.5
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=C(C=C5)Cl)=C3)=NC6=C(C2=O)C=CC=C6,,S.aureus,0.5
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=CC(C)=C5)=C3)=NC6=C(C2=O)C=CC=C6,,S.aureus,0.5
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=CC(Cl)=C5)=C3)=NC6=C(C2=O)C=CC=C6C,,S.aureus,64
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=CC(C(O)=O)=C5)=C3)=NC6=C(C2=O)C=CC=C6,,S.aureus,4
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=C(C=C5)OC)=C3)=NC6=C(C2=O)C=CC=C6,,S.aureus,4
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=CC(F)=C5)=C3)=NC6=C(C2=O)C=CC=C6,,S.aureus,0.5
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=C(C=C5)C(F)(F)F)=C3)=NC6=C(C2=O)C=CC=C6,,S.aureus,4
ClC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=CC(F)=C5)=C3)=NC6=C(C2=O)C=CC=C6,,S.aureus,4
N#CC1=CC=C(/C=C/C(N2C3=CC=CC(OCC4=CN(CC5=CC=CC=C5)N=N4)=C3)=NC6=C(C=CC=C6)C2=O)C=C1,,S.aureus,0.5
N#CC1=CC=C(/C=C/C(N2C3=CC=CC(OCC4=CN(CC5=CC=C(Br)C=C5)N=N4)=C3)=NC6=C(C=CC=C6)C2=O)C=C1,,S.aureus,16
N#CC1=CC=C(/C=C/C(N2C3=CC=CC(OCC4=CN(CC5=CC(Br)=CC=C5)N=N4)=C3)=NC6=C(C=CC=C6)C2=O)C=C1,,S.aureus,0.5
N#CC1=CC=C(/C=C/C(N2C3=CC=CC(OCC4=CN(CC5=CC=C(OC)C=C5)N=N4)=C3)=NC6=C(C=CC=C6)C2=O)C=C1,,S.aureus,0.5
N#CC1=CC=C(/C=C/C(N2C3=CC=CC(OCC4=CN(CC5=CC=C([N+]([O-])=O)C=C5)N=N4)=C3)=NC6=C(C=CC=C6)C2=O)C=C1,,S.aureus,2
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=C(C=C3)OC4=CN(N=N4)CC5=CC=C(C=C5)Br)=NC6=C(C2=O)C=CC=C6,,S.aureus,64
O=C1N(C2=CC=CC(N3N=NC(C4=CC=CC=C4)=C3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(N3N=NC(C4=CC=CC=C4)=C3)=C2)C(/C=C/C5=CC=C(Cl)C=C5)=NC6=C1C=CC=C6,,S.aureus,64
O=C1N(C2=CC=CC(N3N=NC(C4=CC=CC=C4)=C3)=C2)C(/C=C/C5=CC=C(C#N)C=C5)=NC6=C1C=CC=C6,,S.aureus,64
O=C1N(C2=CC=CC(N3N=NC(COC4=CC=C(C(C)(C)CC)C=C4)=C3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
O=C1N(C2=CC=CC(N3N=NC(COC4=CC(C)=CC=C4C)=C3)=C2)C(C)=NC5=C1C=CC=C5,,S.aureus,64
C=C1N(C2=CC(N(N=N3)C=C3COC4=CC=C(C(C)(C)CC)C=C4)=CC=C2)C(/C=C/C5=CC=C(C#N)C=C5)=NC6=CC=CC=C61,,S.aureus,64
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,"5a R1=H ，R2=H ，R3=H ,R4=H ",S.aureus,12.544
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4,"5b R1=H ，R2=CH3 ，R3=H ,R4=H ",S.aureus,25.1199
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,"5c R1=CH3 ，R2=H ，R3=H ,R4=H ",S.aureus,24.95281
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,"5d R1=SCH3 ，R2=H ，R3=H ,R4=H ",S.aureus,25.079
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,"5e R1=C6H5 ，R2=H ，R3=H ,R4=H ",S.aureus,12.6005
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],"5f R1=C5H4N ，R2=H ，R3=H ,R4= H",S.aureus,12.62921
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,"5g R1=H ，R2=H ，R3=CH3 ,R4=H ",S.aureus,12.66262
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4.C,"5h R1=H ，R2=CH3 ，R3=CH3 ,R4=H ",S.aureus,12.41519
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,"5i R1=CH3 ，R2=H ，R3=CH3 ,R4=H ",S.aureus,25.1199
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,"5j R1=SCH3 ，R2=H ，R3=CH3 ,R4=H ",S.aureus,25.1118
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,"5k R1=C6H5 ，R2=H ，R3=CH3 ,R4=H ",S.aureus,25.11768
O=C(N1C(C)CC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],"5l R1=C5H4N ，R2=H ，R3=CH3 ,R4=H ",S.aureus,12.58656
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,"5m R1=H ，R2=H ，R3=H ,R4=NO2 ",S.aureus,12.5054
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4,"5n R1=H ，R2=CH3 ，R3=H ,R4=NO2 ",S.aureus,12.51234
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,"5o R1=CH3 ，R2=H ，R3=H ,R4=NO2 ",S.aureus,25.0458
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4SC,"5p R1=SCH3 ，R2=H ，R3=H ,R4=NO2 ",S.aureus,13.0355
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C6=CC=CC=C6,"5q R1=C6H5 ，R2=H ，R3=H ,R4=NO2 ",S.aureus,12.467
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C#CC#CC#[NH4],"5r R1=C5H4N ，R2=H ，R3=H ,R4=NO2 ",S.aureus,6.24637
