,Smile格式,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,,细胞毒性 IC50,,,,溶血 HC10   ,EC50,CC50,期刊名、卷、页码,其他数据如：MBC,文献原始数据截图,备注,,,,,,,,,,
,O=C(OC1=O)N(CC2=CN(C3=CC=C(C(Cl)=C3)Cl)N=N2)C4=C1C=CC=C4,"4g, 3,4-Cl₂C₆H₄",137.55,279.03,,,,137.55,137.55,,,,＞2.751,＞2.751,,,,,,,,,,,,,,,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC([N+]([O-])=O)=C4)OC2=O,"4h, 3-NO₂C₆H₄",146,292,,,,146,146,,,,＞2.555,＞2.555,,,,,,,,,,,,,,,,,,,
,O=C(OC1=O)N(CC2=CN(C3=CC=C([N+]([O-])=O)C=C3)N=N2)C4=C1C=CC=C4,"4i, 4-NO₂C₆H₄",146,73,,,,292,146,,,,＞2.555,＞2.555,,,,,,,,,,,,,,,,,,,
,O=C(NC1=O)C2=C(C=CC=C2)N1CC3=CN=NN3C4=CC=CC=C4,"5a, C₆Hs",163.2,329.6,,,,329.6,163.2,,,,1.7856±0.0128,2.1632±0.1024,,,,,,,,,,,,,,,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN=NN3C4=CC=C(C)C=C4)NC2=O,"5b, 4-MeC₆H₄",156.98,313.96,,,,156.98,156.98,,,,＞2.338,＞2.338,,,,,,,,,,,,,,,,,,,
,O=C(NC1=O)N(CC2=CN(C3=CC=C(C=C3)OC)N=N2)C4=C1C=CC=C4,"5c, 4-OMeC₆H₄",150.5,301,,,,301,150.5,,,,0.9065±0.119,2.3555±0.112,,,,,,,,,,,,,,,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=C(C=CC=C4)Cl)NC2=O,"5d, 2-CIC₆H₄",149.73,299.46,,,,299.46,74.865,,,,1.486605±0.03565,2.43133±0.060605,,,,,,,,,,,,,,,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=CC=C4)NC2=O,"5e, 3-CIC₆H₄",149.73,299.46,,,,299.46,149.73,,,,2.10335±0.03565,2.128305±0.00713,,,,,,,,,,,,,,,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)NC2=O,"5f, 2,4,5-Cl₃C₆H₄",249.11,249.11,,,,249.11,124.555,,,,＞3.0065,＞3.0065,,,,,,,,,,,,,,,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(Cl)C=C4)NC2=O,"5j, 4-CIC₆H₄",181.23,362.46,,,,181.23,181.23,,,,＞3.0205,＞3.0205,,,,,,,,,,多的IC50,,,,,,,,,
1358,,,金黄色葡萄球菌（μg/ml）,,,,,大肠杆菌（μg/ml）,铜绿假单胞菌,普通变形杆菌,,,IC50（μg/ml）,,,,,,,Journal of Molecular Structure 1242 (2021) 130786 ,,,,,,,,,,,,,
