,Smile格式,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,,细胞毒性 IC50,,,,溶血 HC10   ,EC50,CC50,期刊名、卷、页码,其他数据如：MBC,文献原始数据截图,备注,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3F)N=N2)=C1)=O,7b -C₆H₄-2-F (邻氟苯基),999.42 ± 0.58,,,,,49.99 ± 0.10,99.95 ± 0.07,99.95 ± 0.17,,,14.99 ± 0.95,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(F)=C3)N=N2)=C1)=O,7c -C₆H₄-3-F (间氟苯基),999.42 ± 0.41,,,,,99.95 ± 0.34,49.99 ± 0.41,49.99 ± 0.38,,,11.99 ± 0.14,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(F)C=C3)N=N2)=C1)=O,7d -C₆H₄-4-F (对氟苯基),999.42 ± 0.65,,,,,99.95 ± 0.07,49.99 ± 0.10,49.99 ± 0.34,,,6.99 ± 0.10,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3Cl)N=N2)=C1)=O,7e -C₆H₄-2-Cl (邻氯苯基),-,,,,,-,-,-,,,5.03 ± 0.29,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(Cl)=C3)N=N2)=C1)=O,7f -C₆H₄-3-Cl (间氯苯基),-,,,,,-,-,-,,,6.99 ± 0.18,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C=C3)N=N2)=C1)=O,7g -C₆H₄-4-Cl (对氯苯基),-,,,,,-,50.28 ± 0.43, 50.28 ± 0.11,,,13.07 ± 1.25,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C=C3Cl)N=N2)=C1)=O,"7h -C₆H₃ - 2,4 - Cl₂（2,4 - 二氯苯基）",997.63 ± 0.98,,,,,997.63 ± 0.20,997.63 ± 0.62,997.63 ± 0.74,,,7.97 ± 0.39,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C(Cl)=C3)N=N2)=C1)=O,"7i -C₆H₃ - 3,4 - Cl₂（3,4 - 二氯苯基）",997.63 ± 0.70,,,,,498.82 ± 0.12,498.82 ± 0.31,498.82 ± 0.23,,,6.98 ± 0.23,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3C)N=N2)=C1)=O,7j -C₆H₄-2-CH₃(邻甲基苯基),-,,,,,-,-,49.98 ± 0.07,,,8.99 ± 0.40,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(C)=C3)N=N2)=C1)=O,7k -C₆H₄-3-CH₃(间甲基苯基),-,,,,,-,-,99.97 ± 0.37,,,8.99 ± 0.37,,,,,,,,,,,,,,,,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(C)C=C3)N=N2)=C1)=O,7l -C₆H₄-4-CH₃(对甲基苯基),-,,,,,-,-,52.17 ± 0.13,,,6.99 ± 0.13,,,,,,,,,,,,,,,,,,,,
1399,,,,Gram-positive VRE（）,Gram-positive MRSA（）,,,,Gram-negative Ac.Baumannii（）,Gram-negative Car.Resistant Ps.Aeruginosa（）,Gram-negative Klebsiella pneumoniae（）,Gram-negative Enterobacter aerogenes（）,IC50,,,,,,,Journal of Molecular Structure 1317 (2024) 139006,,,,,,,,,,,,,
,,3a：R = H,,2.5×10⁵,2.5×10⁵,,,,2.5×10⁵,2.5×10⁵,2.0×10⁵,2.0×10⁵,0.64777,,,,,,,,,,,,,,,,,,,,
,,3b：R = 3 - Me,,2.5×10⁵,5.0×10⁴,,,,2.0×10⁵,2.5×10⁵,1.2×10⁵,2.0×10⁵,0.70299,,,,,,,,,,,,,,,,,,,,
,,3c：R = 4 - Me,,2.5×10⁵,2.0×10⁵,,,,2.5×10⁵,2.0×10⁵,2.0×10⁵,2.5×10⁵,0.59706,,,,,,,,,,,,,,,,,,,,
,,3d：R = 2 - OMe,,1.5×10⁵,1.9×10⁵,,,,9.9×10⁴,1.9×10⁵,4.9×10⁴,1.5×10⁵,0.61671,,,,,,,,,,,,,,,,,,,,
