smiles,aureus_logMIC,subtilis_logMIC
O=C1C=C(NCC2=CN(C3=CC=CC([N+]([O-])=O)=C3)N=N2)C4=C(O1)C=CC=C4,2.0,1.698970004
COC1=CC(OC)=C(C(=O)/C=C/C2=CC=C(OCC3=CN(C4=CC=C(F)C(Cl)=C4)N=N3)C(OC)=C2)C(O)=C1,2.0,1.698970004
CC1=CC=C(N2CCN(C(CN3N=NC(COC4=CC=C(CC)C=C4)=C3)=O)CC2)C=C1,1.689042339,1.386677284
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C([H])C([H])=C1OC,2.397940009,2.096910013
CC1=CC=C(OCC2=CN(CC(N3CCN(C4=CC=C(C)C=C4)CC3)=O)N=N2)C=C1,1.698883137,
O=C1C=C(OCC2=CN(C3=CC=CC=C3OC)N=N2)C4=C(O1)C=CC=C4,2.301029996,1.096910013
COC1=CC=C2N=C(NN3C(C4=CC=CN=C4)=NN=C3C5=CC=C(Cl)C=C5)SC2=C1,2.397940009,
O=C(/C(S1)=C\C(C2=CC=CC=C23)=CN3CC4=CN(N=N4)C5=C(C)C=CC([N+]([O-])=O)=C5)NC1=O,1.942107309,
CCN1C(SCC2=CC(=O)OC3=C(C)C=C(C)C=C23)=NN=C1C1=CC=CS1,0.397940009,
FC(C=C(N1N=NC(COC2=CC=CC([N+]([O-])=O)=C2)=C1)C=C3)=C3N4CCOCC4,1.698970004,1.698970004
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC(C)=C(C)C=C5N=C4,1.400017906,
[H]C1=CC(/C=N/N2C(=S)N([H])N=C2CC2=C(C)N([H])C3=CC=C(F)C=C32)=C(O)C([H])=C1[H],2.397940009,2.096910013
CC(N(N=N1)C2=C(C(C(F)(F)F)=CC(Cl)=C2Cl)C)=C1C3=NN(C4=CC=CC=C4)C=C3C([H])=O,1.361727836,1.342422681
O=C(N1CCC2=C1C=CC=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4,1.098436045,1.399466041
ClC1=C(C=C(C(C)=C1N2N=NC(C3=NN(C4=NN=CC5=C4C=CC=C5)C=C3C([H])=O)=C2C)C(F)(F)F)Cl,1.041392685,1.041392685
N#CC1=CC=C(C=C1)/C=C/C(N2C3=CC=CC(OC4=CN(N=N4)C5=CC=CC(Cl)=C5)=C3)=NC6=C(C2=O)C=CC=C6,-0.301029996,
CC1=CC=C(N2CCN(C(CN3N=NC(COC4=CC=C(C5=CC=CC=C5)C=C4)=C3)=O)CC2)C=C1,1.685114469,1.685114469
COC1=CC(OC)=C2C(=O)C=C(C3=CC=C(OCC4=CN(C5=CC=C(F)C(Cl)=C5)N=N4)C(OC)=C3)OC2=C1,2.0,
CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(F)C=C3)N=N2)=C1)=O,2.999748036,
O=C1SC2=CC(Br)=CC=C2N1CC3=CN(C4=CC=C(CCCC)C=C4)N=N3,2.0,2.301029996
CN1CCN(N(C(=S)SCC2=CN(CCCN3C(=O)C4=CC=CC5=CC=CC(=C54)C3=O)N=N2)N2CCN(C)CC2)CC1,2.107026713,
C[C@@H]1SC(C2=CC=C(Br)C=C2)C(NCC(=O)NN2C(C3=CC=C(Cl)C=C3)=NN[C@@H]2S)C1=O,1.096910013,
[H]C(C1=CN(N=C1C2=C(N(N=N2)C3=C(C(C(F)(F)F)=CC(Cl)=C3Cl)C)C)N4CC=CC5=CC=CC(C(F)(F)F)=C54)=O,1.414973348,1.361727836
NC(NCCNC(C(N=N1)=CN1C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=O)=[NH2+],0.903089987,
O=C(N/N=C/C1=CC=C2N(CC3=CN(CC4=CC=C(C#N)C=C4)N=N3)C5=C(C=CC=C5)SC2=C1)C6=CC=C([N+]([O-])=O)C=C6,1.397940009,
O=C1SC2=CC(Br)=CC=C2N1CC3=CN(C4=CC(C)=CC(C)=C4)N=N3,2.0,2.0
[H]C1=C(O)C([H])=C([H])C(/C=N\N2C(S)=NN=C2CCCCCCCCCCCCCCC)=C1,1.698970004,
O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)[N+]([O-])=O)C6=C1C=CC=C6)OC,0.903089987,0.903089987
O=C(N1CCC2=C1C=C([N+]([O-])=O)C=C2)CN(N=N3)C=C3CN4C5=CC=CC=C5N=C4C,1.398734908,
