step,mean_reward,valid_rate,triazole_rate
188,0.558910,0.937500,0.976562
189,0.546963,0.945312,0.976562
190,0.549304,0.953125,0.992188
191,0.550693,0.953125,0.976562
192,0.554275,0.945312,0.992188
193,0.553067,0.945312,0.984375
194,0.557983,0.960938,1.000000
195,0.553104,0.945312,0.968750
196,0.556010,0.914062,0.953125
197,0.555736,0.960938,0.976562
198,0.553664,0.945312,0.976562
199,0.551097,0.953125,0.976562
200,0.563091,0.937500,0.953125
201,0.545908,0.906250,0.937500
202,0.567768,0.953125,0.976562
203,0.553333,0.929688,0.968750
204,0.560826,0.945312,0.968750
205,0.549514,0.921875,0.960938
206,0.566326,0.875000,0.945312
207,0.554109,0.960938,0.992188
208,0.554402,0.914062,0.968750
209,0.560685,0.937500,0.968750
210,0.546871,0.929688,0.976562
211,0.542175,0.960938,0.976562
212,0.554229,0.968750,1.000000
213,0.562369,0.929688,0.984375
214,0.562207,0.929688,0.992188
215,0.550557,0.914062,0.960938
216,0.550491,0.914062,0.960938
217,0.556359,0.953125,0.960938
218,0.562366,0.937500,0.976562
219,0.553963,0.960938,0.984375
220,0.554629,0.968750,0.968750
221,0.555020,0.898438,0.960938
222,0.550255,0.976562,0.976562
223,0.556939,0.937500,0.984375
224,0.558943,0.960938,0.992188
225,0.555684,0.921875,0.976562
226,0.557247,0.937500,0.976562
227,0.547184,0.953125,0.984375
228,0.562731,0.945312,0.984375
229,0.559933,0.945312,0.984375
230,0.551032,0.906250,0.976562
231,0.554046,0.906250,0.976562
232,0.547690,0.937500,0.984375
233,0.555885,0.921875,0.984375
234,0.558720,0.937500,0.976562
235,0.557993,0.960938,0.976562
236,0.559880,0.914062,0.960938
237,0.559603,0.914062,0.960938
238,0.553857,0.945312,0.960938
239,0.547547,0.945312,0.992188
240,0.551368,0.921875,0.960938
241,0.550304,0.937500,0.960938
242,0.555418,0.945312,0.992188
243,0.556281,0.953125,0.992188
244,0.561338,0.898438,0.953125
245,0.557513,0.953125,0.984375
246,0.556834,0.937500,0.976562
247,0.552562,0.921875,0.968750
248,0.559052,0.953125,0.992188
249,0.569593,0.921875,0.953125
250,0.556534,0.953125,0.976562
251,0.555466,0.929688,0.976562
252,0.554691,0.960938,0.976562
253,0.554221,0.945312,0.984375
254,0.552168,0.937500,0.968750
255,0.547593,0.953125,0.984375
256,0.569474,0.960938,0.976562
257,0.551113,0.945312,0.976562
258,0.562601,0.937500,0.968750
259,0.553802,0.929688,0.984375
260,0.556508,0.921875,0.960938
261,0.544147,0.953125,0.992188
262,0.549884,0.953125,0.976562
263,0.547448,0.937500,0.960938
264,0.548823,0.929688,0.984375
265,0.560869,0.898438,0.960938
266,0.558480,0.921875,0.984375
267,0.555379,0.945312,0.968750
268,0.550026,0.906250,0.945312
269,0.551105,0.953125,0.968750
270,0.560951,0.968750,0.984375
271,0.564991,0.960938,0.984375
272,0.552297,0.921875,0.968750
273,0.545727,0.937500,0.984375
274,0.561858,0.921875,0.960938
275,0.554737,0.898438,0.976562
