step,mean_reward,valid_rate
266,0.224525,0.898438
267,0.223402,0.867188
268,0.222224,0.851562
269,0.236590,0.875000
270,0.236646,0.898438
271,0.242093,0.890625
272,0.235436,0.882812
273,0.238790,0.875000
274,0.228591,0.906250
275,0.223613,0.882812
276,0.238139,0.859375
277,0.228137,0.898438
278,0.236992,0.882812
279,0.233268,0.882812
280,0.233614,0.898438
281,0.232898,0.890625
282,0.230471,0.867188
283,0.236829,0.875000
284,0.229642,0.867188
285,0.240863,0.890625
286,0.232689,0.906250
287,0.237645,0.867188
288,0.233603,0.859375
289,0.234826,0.890625
290,0.226802,0.859375
291,0.230173,0.890625
292,0.224522,0.859375
293,0.217485,0.953125
294,0.229791,0.851562
295,0.239344,0.828125
296,0.234263,0.882812
297,0.228113,0.843750
298,0.233292,0.859375
299,0.227454,0.890625
300,0.233316,0.906250
301,0.241815,0.898438
302,0.226775,0.882812
303,0.229848,0.875000
304,0.231969,0.890625
305,0.245518,0.890625
306,0.239870,0.882812
307,0.237752,0.828125
308,0.231000,0.890625
309,0.221912,0.828125
310,0.236144,0.898438
311,0.236879,0.898438
312,0.225604,0.898438
313,0.231395,0.835938
314,0.239285,0.898438
315,0.230590,0.906250
316,0.242794,0.812500
317,0.222605,0.867188
318,0.230371,0.898438
319,0.240667,0.929688
320,0.235748,0.875000
321,0.223421,0.867188
322,0.235162,0.796875
323,0.232248,0.906250
324,0.228957,0.875000
325,0.238172,0.875000
326,0.228155,0.882812
327,0.237364,0.843750
328,0.235803,0.859375
329,0.228422,0.820312
330,0.236178,0.851562
331,0.233958,0.875000
332,0.243354,0.789062
333,0.244096,0.859375
334,0.232969,0.851562
335,0.236489,0.859375
336,0.229061,0.890625
337,0.237420,0.843750
338,0.229473,0.898438
339,0.234784,0.804688
340,0.235268,0.890625
341,0.249387,0.843750
342,0.238160,0.812500
343,0.239363,0.835938
344,0.235062,0.890625
345,0.224651,0.890625
346,0.238738,0.851562
347,0.231372,0.867188
348,0.220344,0.898438
349,0.240580,0.867188
350,0.244953,0.828125
351,0.239039,0.882812
352,0.240188,0.914062
353,0.244577,0.859375
354,0.241037,0.835938
355,0.244215,0.867188
356,0.239826,0.812500
357,0.239318,0.835938
358,0.241463,0.843750
359,0.235269,0.828125
360,0.243028,0.875000
361,0.233357,0.875000
362,0.232057,0.789062
363,0.233138,0.906250
364,0.247694,0.867188
365,0.241264,0.835938
366,0.237105,0.843750
367,0.243670,0.906250
