step,mean_reward,valid_rate,triazole_rate
188,0.758709,0.953125,0.968750
189,0.758616,0.984375,0.992188
190,0.758754,0.976562,0.984375
191,0.758713,0.976562,0.984375
192,0.758791,0.984375,1.000000
193,0.757844,0.984375,0.992188
194,0.758656,0.992188,0.992188
195,0.758766,0.992188,0.992188
196,0.758805,0.976562,0.976562
197,0.758727,0.976562,0.976562
198,0.757289,0.992188,0.992188
199,0.758672,1.000000,1.000000
200,0.758805,0.968750,0.984375
201,0.758818,0.976562,0.984375
202,0.757394,0.984375,0.984375
203,0.758815,0.992188,1.000000
204,0.756972,0.968750,0.968750
205,0.758877,0.968750,0.976562
206,0.758796,0.937500,0.937500
207,0.758905,0.976562,0.984375
208,0.757962,1.000000,1.000000
209,0.758882,0.937500,0.968750
210,0.757433,0.976562,0.992188
211,0.758831,0.984375,0.992188
212,0.757820,0.984375,0.992188
213,0.758008,0.984375,1.000000
214,0.759052,0.976562,0.984375
215,0.758742,0.984375,0.984375
216,0.758902,0.953125,0.968750
217,0.759083,0.992188,0.992188
218,0.759037,0.992188,0.992188
219,0.759109,0.984375,0.984375
220,0.758152,0.984375,0.984375
221,0.759020,0.968750,0.968750
222,0.759174,0.968750,0.976562
223,0.759013,0.984375,0.992188
224,0.759235,0.976562,0.984375
225,0.759090,0.960938,0.976562
226,0.759205,1.000000,1.000000
227,0.759236,0.992188,0.992188
228,0.758025,0.968750,0.976562
229,0.759218,0.984375,0.984375
230,0.757682,0.992188,0.992188
231,0.759085,0.945312,0.953125
232,0.759322,1.000000,1.000000
233,0.759274,0.992188,0.992188
234,0.759375,0.984375,0.992188
235,0.759247,0.984375,0.992188
236,0.759241,0.937500,0.953125
237,0.759321,0.992188,0.992188
238,0.757158,1.000000,1.000000
239,0.759326,0.984375,0.992188
240,0.759523,0.976562,0.984375
241,0.758572,0.976562,0.984375
242,0.758334,0.960938,0.968750
243,0.759495,0.984375,0.984375
244,0.758037,1.000000,1.000000
245,0.759504,0.976562,1.000000
246,0.759568,0.968750,0.976562
247,0.759458,0.984375,0.984375
248,0.758475,0.984375,0.984375
249,0.759643,0.968750,0.984375
250,0.758386,0.968750,0.976562
251,0.759558,0.976562,0.976562
252,0.759644,0.976562,0.976562
253,0.759598,0.968750,0.976562
254,0.759469,0.984375,0.992188
255,0.759712,0.992188,0.992188
256,0.759605,0.976562,0.992188
257,0.759471,0.984375,0.992188
258,0.759574,0.992188,1.000000
259,0.759686,0.968750,0.992188
260,0.759464,0.960938,0.968750
261,0.758595,0.976562,1.000000
262,0.759459,0.976562,0.984375
263,0.759626,0.968750,0.976562
264,0.759787,0.984375,0.992188
265,0.758665,0.953125,0.968750
266,0.759656,0.960938,0.984375
267,0.759798,0.976562,0.992188
268,0.758626,0.984375,0.992188
269,0.759589,0.968750,0.968750
270,0.759861,0.968750,0.984375
271,0.757821,0.984375,0.984375
272,0.759692,0.992188,1.000000
273,0.758592,0.953125,0.960938
274,0.759730,0.984375,0.984375
275,0.760060,0.968750,0.984375
276,0.759879,0.976562,0.984375
277,0.759961,0.937500,0.968750
278,0.760043,0.976562,0.976562
279,0.759831,0.960938,0.976562
280,0.758425,0.992188,0.992188
281,0.757827,0.976562,0.984375
282,0.757425,0.992188,0.984375
283,0.759003,0.992188,0.992188
284,0.759979,0.976562,0.984375
285,0.760118,0.992188,0.992188
286,0.759060,0.992188,0.992188
287,0.759920,0.976562,0.984375
288,0.760182,0.968750,0.976562
289,0.760306,0.984375,0.992188
290,0.760158,0.976562,0.984375
291,0.760380,0.976562,0.984375
292,0.760357,0.984375,0.992188
293,0.760121,0.968750,0.976562
294,0.760439,0.984375,0.992188
295,0.760327,0.984375,0.992188
296,0.760309,0.984375,0.992188
297,0.757670,1.000000,1.000000
298,0.758746,0.976562,0.976562
299,0.760449,0.976562,0.992188
300,0.759523,0.984375,0.992188
301,0.758538,0.968750,0.976562
302,0.760382,0.992188,0.992188
303,0.760389,0.976562,0.984375
304,0.759292,0.992188,0.992188
305,0.760188,0.953125,0.968750
306,0.760288,0.953125,0.968750
307,0.760559,0.953125,0.976562
308,0.760292,0.968750,0.976562
309,0.760599,0.976562,0.976562
310,0.760509,0.992188,0.992188
311,0.760431,0.976562,0.992188
312,0.758750,1.000000,1.000000
313,0.760569,1.000000,1.000000
314,0.758541,0.968750,0.976562
315,0.760564,0.953125,0.953125
316,0.759276,0.984375,0.984375
317,0.760654,0.960938,0.960938
318,0.759130,0.992188,0.992188
319,0.758686,0.984375,0.992188
320,0.758945,0.960938,0.968750
321,0.759561,0.968750,0.984375
322,0.760792,0.976562,0.992188
323,0.760957,0.976562,0.976562
324,0.760833,0.968750,0.976562
325,0.760992,0.937500,0.960938
326,0.760935,0.992188,0.992188
327,0.760915,0.976562,0.984375
328,0.760931,0.960938,0.984375
329,0.759670,0.960938,0.984375
330,0.760832,0.984375,1.000000
331,0.759444,0.984375,0.984375
332,0.761151,0.984375,1.000000
333,0.760969,0.968750,0.984375
334,0.761103,0.960938,0.960938
335,0.761218,0.976562,0.984375
336,0.761297,0.953125,0.976562
337,0.759973,0.976562,0.984375
338,0.761235,0.984375,0.992188
339,0.759566,0.953125,0.960938
340,0.761319,0.960938,0.968750
341,0.761004,0.984375,0.992188
342,0.761314,0.984375,0.992188
343,0.760392,1.000000,1.000000
344,0.761421,0.992188,0.992188
345,0.761461,0.945312,0.953125
346,0.761392,0.968750,0.976562
347,0.761403,0.992188,0.992188
348,0.761380,0.984375,0.992188
349,0.760078,1.000000,1.000000
350,0.761616,0.968750,0.968750
351,0.761472,0.968750,0.976562
352,0.759069,0.992188,1.000000
353,0.761403,0.992188,1.000000
354,0.761417,0.968750,0.984375
355,0.761530,0.976562,0.992188
356,0.760021,0.984375,0.992188
357,0.761559,0.937500,0.968750
358,0.761472,0.984375,0.992188
359,0.758663,0.968750,0.976562
360,0.761749,0.984375,0.984375
361,0.761623,0.992188,1.000000
362,0.761668,0.992188,0.992188
363,0.761724,0.992188,0.992188
364,0.761682,0.968750,0.976562
365,0.761816,0.984375,0.984375
366,0.761761,0.968750,0.976562
367,0.761781,0.960938,0.984375
368,0.760468,0.968750,0.968750
369,0.761918,0.984375,1.000000
370,0.761842,0.968750,0.992188
371,0.760369,0.953125,0.953125
372,0.760847,0.976562,0.992188
373,0.761769,0.992188,1.000000
374,0.758646,0.992188,0.992188
375,0.759956,0.984375,0.984375
376,0.762003,0.992188,1.000000
377,0.761930,0.984375,0.984375
378,0.760799,0.976562,0.992188
379,0.761037,0.976562,0.992188
380,0.759243,0.968750,0.976562
381,0.762059,0.984375,0.992188
382,0.761057,0.968750,0.968750
383,0.762262,0.976562,0.976562
384,0.760886,0.984375,0.984375
385,0.762302,0.984375,0.992188
386,0.762282,0.976562,0.976562
387,0.762137,0.976562,0.976562
388,0.762377,0.992188,0.992188
389,0.761217,1.000000,1.000000
390,0.762304,0.976562,0.976562
391,0.762410,0.984375,0.984375
392,0.760934,0.984375,0.992188
393,0.762476,0.992188,0.992188
394,0.761459,1.000000,1.000000
395,0.762499,0.984375,0.984375
396,0.762696,0.968750,0.968750
397,0.762730,0.992188,0.992188
398,0.762636,0.992188,0.992188
399,0.761432,0.992188,0.992188
400,0.762749,0.992188,0.992188
401,0.762483,0.992188,1.000000
402,0.762608,0.984375,0.992188
403,0.762486,0.976562,0.976562
404,0.762584,0.992188,0.992188
405,0.762506,0.984375,0.984375
406,0.761216,0.976562,0.984375
407,0.762561,0.976562,0.992188
408,0.762636,0.968750,0.984375
409,0.762735,0.960938,0.968750
410,0.762604,0.968750,0.976562
411,0.762864,0.953125,0.976562
412,0.761424,0.984375,0.984375
413,0.762799,0.968750,0.984375
414,0.761253,0.984375,0.984375
415,0.761552,0.992188,0.992188
416,0.762798,0.984375,0.984375
417,0.762840,0.984375,1.000000
418,0.762870,0.984375,0.984375
419,0.762821,1.000000,1.000000
420,0.762938,0.976562,0.992188
421,0.763127,0.984375,0.984375
422,0.761648,0.976562,1.000000
423,0.762957,0.960938,0.960938
424,0.761639,0.984375,1.000000
425,0.763132,0.976562,0.976562
426,0.763162,0.976562,0.992188
427,0.763181,0.992188,1.000000
428,0.763144,1.000000,1.000000
429,0.762059,0.968750,0.976562
430,0.763161,0.984375,0.992188
431,0.763338,1.000000,1.000000
432,0.763246,0.984375,0.992188
433,0.763122,0.992188,0.992188
434,0.763295,0.984375,0.984375
435,0.763367,0.984375,0.992188
436,0.763266,0.984375,0.992188
437,0.763294,0.984375,0.984375
438,0.763480,1.000000,1.000000
439,0.763479,0.984375,0.992188
440,0.760951,0.992188,0.992188
441,0.763413,0.992188,1.000000
442,0.763394,0.976562,0.984375
443,0.763545,0.976562,0.976562
444,0.763731,0.976562,0.976562
445,0.763628,0.992188,0.992188
446,0.763798,0.992188,0.992188
447,0.762264,0.992188,0.992188
448,0.762494,0.984375,1.000000
449,0.762611,1.000000,1.000000
450,0.761232,0.984375,0.984375
451,0.763593,0.992188,1.000000
452,0.763824,0.984375,0.984375
453,0.763826,0.968750,0.976562
454,0.762027,0.992188,1.000000
455,0.763935,0.984375,0.992188
456,0.762120,0.976562,0.984375
457,0.763902,0.976562,0.984375
458,0.763778,0.992188,1.000000
459,0.764010,0.960938,0.960938
460,0.761984,0.976562,0.992188
461,0.764050,0.992188,0.992188
462,0.762210,0.945312,0.968750
463,0.764124,0.976562,0.984375
464,0.764220,1.000000,1.000000
465,0.764126,0.984375,0.984375
466,0.764260,0.976562,0.984375
467,0.764192,0.992188,0.992188
468,0.764233,0.984375,1.000000
469,0.764113,0.968750,0.968750
470,0.764337,0.992188,1.000000
471,0.764428,0.968750,0.968750
472,0.764439,1.000000,1.000000
473,0.764432,0.960938,0.976562
474,0.764378,0.976562,0.992188
475,0.764371,1.000000,1.000000
476,0.762870,1.000000,1.000000
477,0.764559,0.968750,0.976562
478,0.764644,0.968750,0.984375
479,0.764327,0.984375,0.984375
480,0.764636,0.992188,1.000000
481,0.764720,0.960938,0.992188
482,0.764647,0.976562,0.976562
483,0.764615,0.976562,0.976562
484,0.764727,0.968750,0.992188
485,0.764825,0.968750,0.976562
486,0.763195,0.984375,1.000000
487,0.764941,0.960938,0.976562
488,0.764931,0.984375,0.984375
489,0.763128,0.984375,0.992188
490,0.765087,0.968750,0.968750
491,0.764972,0.984375,0.984375
492,0.764905,0.953125,0.968750
493,0.763224,0.968750,0.976562
494,0.765031,0.976562,0.984375
495,0.763695,0.992188,1.000000
496,0.765074,0.968750,0.968750
497,0.765296,0.992188,0.992188
498,0.765233,0.992188,0.992188
499,0.765265,0.953125,0.968750
500,0.765183,0.984375,0.992188
501,0.765002,0.992188,0.992188
502,0.765182,0.992188,1.000000
503,0.765227,0.992188,1.000000
504,0.763411,0.960938,0.968750
505,0.765348,0.953125,0.960938
506,0.765394,0.976562,0.992188
507,0.765390,0.984375,1.000000
508,0.765148,0.968750,0.992188
509,0.765467,0.992188,1.000000
510,0.762467,0.984375,0.984375
511,0.765715,0.976562,0.992188
512,0.765533,0.960938,0.968750
513,0.765643,0.992188,1.000000
514,0.765541,0.992188,1.000000
515,0.765746,0.992188,0.992188
516,0.765707,0.976562,1.000000
517,0.765700,0.984375,0.992188
518,0.765867,0.992188,0.992188
519,0.765886,0.984375,0.992188
520,0.765762,0.992188,0.992188
521,0.765899,0.984375,1.000000
522,0.765868,1.000000,1.000000
523,0.766047,0.992188,1.000000
524,0.765989,0.953125,0.960938
525,0.766096,0.984375,0.992188
526,0.766072,0.968750,0.976562
527,0.766196,0.992188,0.992188
528,0.766206,0.968750,0.968750
529,0.766191,0.992188,0.992188
530,0.766231,0.976562,0.984375
531,0.766369,0.992188,1.000000
532,0.765073,0.984375,1.000000
533,0.766315,0.968750,0.976562
534,0.766413,0.984375,0.984375
535,0.764359,0.953125,0.968750
536,0.766423,0.968750,0.984375
537,0.766432,0.992188,0.992188
538,0.766441,0.968750,0.976562
539,0.766647,1.000000,1.000000
540,0.766664,0.968750,0.984375
541,0.766826,0.976562,0.984375
542,0.765214,0.976562,0.984375
543,0.766882,0.968750,0.976562
544,0.766973,0.984375,0.984375
545,0.764907,0.960938,0.960938
546,0.766984,0.984375,0.984375
547,0.766977,0.976562,0.976562
548,0.766959,0.984375,0.984375
549,0.767009,0.984375,0.984375
550,0.767123,0.984375,0.992188
551,0.766970,1.000000,1.000000
552,0.767025,0.984375,0.992188
553,0.764909,0.945312,0.960938
554,0.767091,0.992188,0.992188
555,0.767086,0.992188,0.992188
556,0.765825,0.976562,0.984375
557,0.767179,0.953125,0.968750
558,0.766901,0.992188,0.992188
559,0.767355,0.960938,0.968750
560,0.767216,0.992188,0.992188
561,0.767261,0.992188,1.000000
562,0.767366,0.984375,0.984375
563,0.767525,0.968750,0.976562
564,0.767390,0.976562,0.984375
565,0.767588,0.992188,0.992188
566,0.765526,0.968750,0.984375
567,0.767671,1.000000,1.000000
568,0.767720,0.968750,0.984375
569,0.767777,0.992188,0.992188
570,0.766373,0.984375,0.984375
571,0.766380,0.992188,0.992188
572,0.766143,0.984375,0.992188
573,0.765582,0.976562,0.984375
574,0.767924,0.984375,0.984375
575,0.767968,0.992188,0.992188
576,0.767823,0.992188,0.992188
577,0.764748,1.000000,1.000000
578,0.768101,0.984375,0.984375
579,0.765077,0.992188,1.000000
580,0.766821,0.992188,1.000000
581,0.768135,0.960938,0.976562
582,0.768168,0.968750,0.976562
583,0.768225,0.984375,0.992188
584,0.768359,0.968750,0.976562
585,0.768364,1.000000,1.000000
586,0.766638,0.992188,0.992188
587,0.768496,0.984375,0.992188
588,0.765474,0.953125,0.976562
589,0.768469,0.976562,0.984375
590,0.767131,0.976562,0.984375
591,0.767038,0.953125,0.953125
592,0.768557,0.984375,0.984375
593,0.768564,0.992188,0.992188
594,0.768707,0.992188,0.992188
595,0.768804,0.992188,1.000000
596,0.766926,0.992188,1.000000
597,0.768724,0.992188,0.992188
598,0.768821,0.984375,0.984375
599,0.768863,0.968750,0.976562
600,0.765305,0.984375,0.984375
601,0.768866,0.984375,0.984375
602,0.768720,0.984375,0.984375
603,0.768913,0.992188,0.992188
604,0.768909,0.992188,0.992188
605,0.768802,0.976562,0.984375
606,0.769008,0.984375,0.992188
607,0.767555,0.976562,0.984375
608,0.769034,0.992188,0.992188
609,0.769175,0.976562,0.992188
610,0.769230,0.992188,0.992188
611,0.769254,0.976562,0.992188
612,0.767516,0.984375,0.984375
613,0.769279,0.984375,0.992188
614,0.769168,0.976562,0.984375
615,0.767852,0.984375,0.984375
616,0.769330,0.976562,0.976562
617,0.767288,0.968750,0.976562
618,0.769534,0.992188,0.992188
619,0.769482,0.992188,1.000000
620,0.769457,0.984375,0.992188
621,0.767780,1.000000,1.000000
622,0.766339,0.968750,0.968750
623,0.766529,0.992188,0.992188
624,0.767885,0.984375,0.992188
625,0.766395,0.960938,0.976562
626,0.769639,0.976562,0.984375
627,0.769706,1.000000,1.000000
628,0.767801,1.000000,1.000000
629,0.769976,0.984375,0.984375
630,0.770019,0.984375,0.984375
631,0.768139,0.976562,0.976562
632,0.768337,0.968750,0.976562
633,0.769947,0.992188,0.992188
634,0.770081,0.992188,1.000000
635,0.770186,0.976562,0.976562
636,0.770067,1.000000,1.000000
637,0.770342,0.984375,0.992188
638,0.768442,0.992188,0.992188
639,0.768909,0.984375,0.992188
640,0.770297,0.960938,0.968750
641,0.770386,0.984375,0.992188
642,0.768530,0.984375,0.984375
