smiles,aureus_MIC,aureus_logMIC,n,pos,FEAT_COMPACT_0,FEAT_COMPACT_1,FEAT_COMPACT_2,FEAT_COMPACT_3,FEAT_COMPACT_4,FEAT_COMPACT_5,FEAT_COMPACT_6,FEAT_COMPACT_7,FEAT_COMPACT_8,FEAT_COMPACT_9,FEAT_COMPACT_10,FEAT_COMPACT_11,FEAT_COMPACT_12,FEAT_COMPACT_13,FEAT_COMPACT_14,FEAT_COMPACT_15,FEAT_COMPACT_16,FEAT_COMPACT_17,FEAT_COMPACT_18,FEAT_COMPACT_19,FEAT_COMPACT_20,FEAT_COMPACT_21,FEAT_COMPACT_22,FEAT_COMPACT_23,FEAT_COMPACT_24,FEAT_COMPACT_25,FEAT_COMPACT_26,FEAT_COMPACT_27,FEAT_COMPACT_28,FEAT_COMPACT_29,FEAT_COMPACT_30,FEAT_COMPACT_31
NC(NCCNC(C(N=N1)=CN1C2=CC=C(C=C2)OCC3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)=O)=[NH2+],8.0,0.9030899869919436,2,2,-11.732182694570621,4.980563698623646,-10.598457441646206,5.349785361388707,-7.0421268648245094,-0.35847736837730504,3.8324194907470344,7.935598824639525,-1.3389608395642125,-6.394845143922342,-5.824555433416094,-4.1349679969895945,3.158749562300634,6.911662097209153,-5.575394786896563,-3.986061753621678,-10.753209401141698,-1.4882797037200017,37.40651049507691,2.283976189168813,16.590346039070795,-2.7369899449059036,-12.668150407385747,-5.51635727519108,-1.244309045341503,11.455470831833054,5.720647971526055,-14.08686290321581,-12.890270372118572,-5.856539375735984,-15.029570986037458,-9.114803413962793
C/C(C(N=N1)=CN1CC2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=N/NC(N)=[NH2+],4.0,0.6020599913279624,2,2,-1.7587859219259925,9.209295473981758,12.71298241976502,8.897299411090565,6.5240836143200145,3.1081331202607223,7.456084206964904,-3.3900675683940906,-0.48196748822855645,-3.060655437681403,-3.297126702658834,-4.376642864351073,6.0768521883737545,8.371885319243509,-4.97716447521244,-6.179169945444287,-11.392999004550115,-2.709703603205682,44.618215723215954,5.78542297852269,10.754098954367075,6.487320537166175,1.709573800101733,-1.7979467289604525,4.085670114749439,-17.224664707678485,-2.8004642095034518,13.496892186987383,15.18345587396718,4.7533791197858095,9.956485742640009,7.624241758432086
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCNCC(C=C2)=CC=C2C3=CC=CC=C3,4.221,0.6254153521544081,2,2,-4.256607219889869,3.2321760285798002,10.16947353476342,-3.167151774002212,9.015419808716702,2.9888966103517713,16.906118520389377,28.30896024747127,-17.5328130410071,-5.44137365782658,35.47977799908842,-15.62732098503696,-19.832543016762198,15.820982682004228,-8.76919720224426,-1.5697132110041851,-2.6309785353593163,7.109628216079057,-4.257863642308707,1.6162694281394632,1.4700067633173262,0.30878363568955064,-2.193424168198706,1.176451233082134,-1.1203659099432774,0.57347362996717,0.5105215054913657,-0.15640385093709136,-1.3084698673153863,0.6939519928856286,1.375170451275645,0.3237892882238165
O=C(OCC)[C@H](OCC1=CN(CCCCCCCCCCCC)N=N1)CP(OCCCNCC2=CC=C3C=CC=CC3=C2)(O)=O,4.0572,0.6082264168133938,1,1,-4.747851426023364,4.569569843579647,9.560270758102654,-3.7358043395638254,10.742530771066221,2.445960471484917,17.122598027300228,28.125029752874887,-17.169792866820654,-5.829418312154108,33.942001896062024,-14.46060011870231,-19.573799744669493,15.38947430870381,-9.797398109184495,-1.4136521033699463,-3.692289986212436,6.447894621146568,-4.059225950160789,1.9889524150230489,0.542630111848395,1.2044631955205567,-1.2065622698801852,1.1432396631683173,0.674651075956558,0.2171079606458678,-0.509137774121891,-0.6838424917666904,-3.271890416640916,2.132408658456399,0.7950810582846046,-0.5320683616132691
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(C)CC(C=C2)=CC=C2C3=CC=CC=C3,4.3092,0.6343966511736979,2,2,-4.352336749416935,2.5516816654319774,9.621316412433172,-4.404690210943973,9.02286549070494,3.0144481679747566,16.74058969315678,29.068014512746654,-18.368596752200343,-5.587964782042586,35.5002624455991,-14.504933711468102,-18.993613028447527,15.24544677171663,-7.661784360342015,-1.7604570027509594,-2.47666143615405,7.196085195444919,-4.510779271062374,0.920556004280183,1.0001698462642572,0.6661009319862944,-1.5882681895590727,0.557292715156186,-1.5102914439546788,-0.6467492620120963,0.712172869845876,-0.20885781285979726,-0.5126482454287031,0.29673652305074977,1.9221998836809926,1.5715833598304076
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(CC2=CC=C(C3=CC=CC=C3)C=C2)CC(C=C4)=CC=C4C5=CC=CC=C5,374.8,2.5737995822157407,1,0,-3.6491469938066,2.3405976131883284,9.373975074939334,-4.730101157952391,9.202643407535149,2.2203039871477643,17.365541886982186,30.275267402145484,-19.77693879679059,-4.974315110825229,37.321745120953935,-15.420869803329836,-20.123715040019025,15.67855552571462,-8.437239817287459,-2.458782835202888,-2.2182206070069777,7.263309360938091,-6.081106955818133,0.8703074586026427,0.6488782024892914,0.5524296974453115,-1.6940691208521665,0.4187042174526694,-1.4325356544748908,-0.9958872344937553,1.0624299813937714,-0.1768301706452765,-0.2101741799674445,-0.3343608991794818,1.8218791877796672,1.5028413391690365
O=C(OCC1=CN(CC2=CC=CC=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,99.89712,1.999552967844228,9,0,-4.112469222208234,24.63399844422522,11.457427906059213,-4.043929716146771,26.600368659689753,-3.7758273854683164,-3.664861959947139,-6.00450029683275,7.5709486895494535,-20.955233795544604,3.606326778973106,2.4589001745973085,-4.965195560357536,-11.343959535352724,3.2813336409262157,-0.595934234455519,3.3823894220610904,-4.313927818624926,0.5030768566874672,-1.7766174572325186,-0.14454659164682834,-0.7867619700216407,-1.512572670776945,0.16073598020476626,0.28911277453971734,-0.06053778636875692,-0.03615937343913575,-0.742012830889615,-0.9694097676727725,-0.04492254788562371,-0.5490181587731757,-0.5774054567180905
O=C(OCC1=CN(CC2=CC=CC=C2F)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.51085,2.6985449260834264,9,0,-3.6302480763696368,23.117121581064584,9.702278162162973,-5.607284748151049,26.378371611173037,-3.8195972923023533,-4.767285506085054,-5.513030405905375,7.67706386187381,-21.131459678369616,3.9466986105783084,1.2459271395648341,-4.579455638827712,-12.018905988834108,4.263110994134033,0.6101477448508529,3.5439084024456737,-3.8322834170228557,-0.31898567968937086,-1.0813729303193436,-0.052265576030138955,0.5649317303015615,-2.2409562556027027,1.0016962452498785,1.182058766136709,-0.08982420151395323,0.6754671951573958,-0.0439002152198057,-0.9568509665383937,1.2701866960707318,0.9171483720874812,-2.1888793646665716
O=C(OCC1=CN(CC2=CC=CC(F)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.51085,2.6985449260834264,9,0,-3.8672937460941665,23.383288749485978,10.50213311116721,-5.055107769444091,26.857083362468664,-3.8254435928814754,-5.006313383889135,-5.238901542622282,8.075441816587166,-21.0510893589295,3.3138598218963575,2.526540528947542,-4.650613455701278,-10.984350150880298,4.308162513254309,-0.4767739386340921,3.5120384245317267,-3.8282182054969756,-0.1444406270611333,-2.2214077967772767,-0.042013785427222686,-0.3878484552657178,-1.6142775451551177,0.042864028269253035,0.1571012324879702,-0.6316936904785677,-0.35101788097916875,-0.3179350572700872,-0.7060565057421255,-0.1135066575745544,-0.23420940867798878,-1.0555053214865804
CC1=CC=C2OC=C(/C=C/C(=O)OCC3=CN(C4=CC=C(F)C=C4)N=N3)C(=O)C2=C1,499.51085,2.6985449260834264,1,0,-12.615946026905164,15.527268108708848,-3.6770997516082318,-5.063603670190404,12.614380626481688,-3.3042157445203704,-7.761000573474503,-3.828312884028633,7.191576591711887,-23.8747065094212,4.425617459183862,1.629957667842619,-4.508607393068374,-10.698263538765083,4.063485185362725,-0.7345994784589567,3.5602652970059743,-2.5638595522096703,-1.1326353073822153,-3.0654473326284633,4.010441327269938,-3.763756393471615,-5.032117340713211,4.109648159150535,-3.1090281122179575,3.866708039777836,0.9866409192542496,-1.8146151606654015,-1.9253766576067233,-1.86910862670304,-3.4464713447486197,-0.13956051913119427
