smiles,toxicity_label,n,counts_json
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(C)CC(C=C2)=CC=C2C3=CC=CC=C3,微毒,2,"{""微毒"": 2}"
O=P(O)(C[C@H](C(OCC)=O)OCC1=CN(CCCCCCCCCCCC)N=N1)OCCCN(CC2=CC=C(C3=CC=CC=C3)C=C2)CC(C=C4)=CC=C4C5=CC=CC=C5,微毒,1,"{""微毒"": 1}"
O=C(OCC1=CN(CC2=CC=CC=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,中毒,9,"{""中毒"": 4, ""高毒"": 5}"
O=C(OCC1=CN(CC2=CC=CC=C2F)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,高毒,9,"{""中毒"": 4, ""高毒"": 5}"
O=C(OCC1=CN(CC2=CC=CC(F)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,高毒,9,"{""中毒"": 4, ""高毒"": 5}"
CC1=CC=C2OC=C(/C=C/C(=O)OCC3=CN(C4=CC=C(F)C=C4)N=N3)C(=O)C2=C1,中毒,1,"{""中毒"": 1}"
O=C(OCC1=CN(CC2=CC=CC(Cl)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,中毒,9,"{""中毒"": 4, ""高毒"": 5}"
O=C(OCC1=CN(CC2=CC=C(Cl)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,高毒,9,"{""中毒"": 4, ""高毒"": 5}"
O=C(OCC1=CN(CC2=CC=CC=C2C)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,高毒,9,"{""中毒"": 4, ""高毒"": 5}"
O=C(OCC1=CN(CC2=CC=CC(C)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,中毒,9,"{""中毒"": 4, ""高毒"": 5}"
O=C(OCC1=CN(CC2=CC=C(C)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,中毒,9,"{""中毒"": 4, ""高毒"": 5}"
O=C(OCC1=CN(CC2=CC=C(Cl)C=C2Cl)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,高毒,9,"{""中毒"": 4, ""高毒"": 5}"
ClC1=NC2=CC=C(OC)C=C2C=C1COCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3,低毒,1,"{""低毒"": 1}"
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(OC)C=C4)=O)N=N3)=O,低毒,4,"{""低毒"": 4}"
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3)=O,低毒,4,"{""低毒"": 4}"
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C([N+]([O-])=O)C=C4)=O)N=N3)=O,低毒,4,"{""低毒"": 4}"
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=CC=C4)=O)N=N3)=O,低毒,4,"{""低毒"": 4}"
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(OC)C=C4)N=N3)=O,低毒,3,"{""低毒"": 3}"
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=CC=C4)N=N3)=O,低毒,3,"{""低毒"": 3}"
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(C#N)C=C4)N=N3)=O,低毒,3,"{""低毒"": 3}"
C1(C2=CN(CC3=CN(C4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,中毒,9,"{""中毒"": 9}"
ClC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,中毒,9,"{""中毒"": 9}"
ClC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,中毒,9,"{""中毒"": 9}"
CC1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1,中毒,9,"{""中毒"": 9}"
CC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,中毒,9,"{""中毒"": 9}"
COC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,中毒,9,"{""中毒"": 9}"
COC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,中毒,9,"{""中毒"": 9}"
O=[N+](C1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)[O-],中毒,9,"{""中毒"": 9}"
FC(C1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1)(F)F,中毒,9,"{""中毒"": 9}"
C1(C2=CN(CC3=CN(CC4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,中毒,1,"{""中毒"": 1}"
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCC2)N2CCCC2)N=N1,中毒,1,"{""中毒"": 1}"
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCCC2)N2CCCCC2)N=N1,中毒,1,"{""中毒"": 1}"
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCOCC2)N2CCOCC2)N=N1,中毒,1,"{""中毒"": 1}"
CN1CCN(N(C(=S)SCC2=CN(CCCN3C(=O)C4=CC=CC5=CC=CC(=C54)C3=O)N=N2)N2CCN(C)CC2)CC1,高毒,1,"{""高毒"": 1}"
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCN(C3=CC=CC=C3)CC2)N2CCN(C3=CC=CC=C3)CC2)N=N1,中毒,1,"{""中毒"": 1}"
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(N5CCCC5)N5CCCC5)N=N4)C=CC(=C23)C1=O,中毒,1,"{""中毒"": 1}"
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCCCC5)N5CCCCC5)N=N4)C=CC(=C23)C1=O,中毒,1,"{""中毒"": 1}"
CN(C)CCN1C(=O)C2=CC=C(N3C=C(CSC(=S)N(C4CCOCC4)N4CCOCC4)N=N3)C3=CC=CC(=C23)C1=O,中毒,1,"{""中毒"": 1}"
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCN(C)CC5)N5CCN(C)CC5)N=N4)C=CC(=C23)C1=O,高毒,1,"{""高毒"": 1}"
