SMILES,MIC,logMIC,is_active_<25,scaffold
O=C(OCC1=CN(CC2=CC=CC=C2F)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.51085,2.6985449260834264,0,O=C(/C=C/c1coc2ccccc2c1=O)OCc1cn(Cc2ccccc2)nn1
O=C(OCC1=CN(CC2=CC=CC(F)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.51085,2.6985449260834264,0,O=C(/C=C/c1coc2ccccc2c1=O)OCc1cn(Cc2ccccc2)nn1
O=C(OCC1=CN(CC2=CC=CC(Cl)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,99.916765,1.999638364463431,0,O=C(/C=C/c1coc2ccccc2c1=O)OCc1cn(Cc2ccccc2)nn1
O=C(OCC1=CN(CC2=CC=C(Cl)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,99.916765,1.999638364463431,0,O=C(/C=C/c1coc2ccccc2c1=O)OCc1cn(Cc2ccccc2)nn1
O=C(OCC1=CN(CC2=CC=CC=C2C)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,998.9382,2.9995386211297026,0,O=C(/C=C/c1coc2ccccc2c1=O)OCc1cn(Cc2ccccc2)nn1
O=C(OCC1=CN(CC2=CC=CC(C)=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.4691,2.6985086254657213,0,O=C(/C=C/c1coc2ccccc2c1=O)OCc1cn(Cc2ccccc2)nn1
O=C(OCC1=CN(CC2=CC=C(C)C=C2)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,499.4691,2.6985086254657213,0,O=C(/C=C/c1coc2ccccc2c1=O)OCc1cn(Cc2ccccc2)nn1
O=C(OCC1=CN(CC2=CC=C(Cl)C=C2Cl)N=N1)/C=C/C3=COC4=C(C=C(C)C=C4)C3=O,49.9657,1.6986719760860518,0,O=C(/C=C/c1coc2ccccc2c1=O)OCc1cn(Cc2ccccc2)nn1
ClC1=NC2=CC=C(OC)C=C2C=C1COCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3,12.5,1.0969100130080565,1,O=C(Cn1cc(COCc2cnc3ccccc3c2)nn1)c1ccccc1
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(OC)C=C4)=O)N=N3)=O,6.25,0.7958800173440752,1,O=C(Cn1cc(CNC(=O)c2cnc3ccccc3c2)nn1)c1ccccc1
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3)=O,6.25,0.7958800173440752,1,O=C(Cn1cc(CNC(=O)c2cnc3ccccc3c2)nn1)c1ccccc1
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C([N+]([O-])=O)C=C4)=O)N=N3)=O,6.25,0.7958800173440752,1,O=C(Cn1cc(CNC(=O)c2cnc3ccccc3c2)nn1)c1ccccc1
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=CC=C4)=O)N=N3)=O,12.5,1.0969100130080565,1,O=C(Cn1cc(CNC(=O)c2cnc3ccccc3c2)nn1)c1ccccc1
C1(C2=CN(CC3=CN(CC4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,12.5,1.0969100130080565,1,c1ccc(Cn2cc(Cn3cc(-c4nc5ccccc5[nH]4)c4ccccc43)nn2)cc1
CN1CCN(N(C(=S)SCC2=CN(CCCN3C(=O)C4=CC=CC5=CC=CC(=C54)C3=O)N=N2)N2CCN(C)CC2)CC1,127.946,2.107026713004899,0,O=C1c2cccc3cccc(c23)C(=O)N1CCCn1cc(CSC(=S)N(N2CCNCC2)N2CCNCC2)nn1
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCN(C)CC5)N5CCN(C)CC5)N=N4)C=CC(=C23)C1=O,63.928,1.805691117658475,0,O=C1NC(=O)c2ccc(-n3cc(CSC(=S)N(C4CCNCC4)N4CCNCC4)nn3)c3cccc1c23
S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,5.0,0.6989700043360189,1,S=c1n(CN2CCSCC2)nc(-c2cccs2)n1-c1ccccc1
S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,4.8,0.6812412373755872,1,S=c1n(CN2CCSCC2)nc(-c2cccs2)n1-c1ccccc1
S=C1N(CN2CCN(C)CC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,3.2,0.505149978319906,1,S=c1n(CN2CCNCC2)nc(-c2cccs2)n1-c1ccccc1
FC1=CC(Br)=C(N2C(N(CN3CCN(C4=CC=CC=C4OC)CC3)N=C2C5=CC=CS5)=S)C=C1,2.1,0.3222192947339193,1,S=c1n(CN2CCN(c3ccccc3)CC2)nc(-c2cccs2)n1-c1ccccc1
S=C1N(N)C(C2=CC=CC=C2)=NN1,4302.0,3.633670406051444,0,S=c1[nH]nc(-c2ccccc2)[nH]1
S=C1N(/N=C/C2=CC=CC=C2)C(C3=CC=CC=C3)=NN1,2176.0,3.3376588910261424,0,S=c1[nH]nc(-c2ccccc2)n1/N=C/c1ccccc1
O=[N+]([O-])C1=CC=C(/C=N/N2C(=S)NN=C2C2=CC=CC=C2)C=C1,977.0,2.989894563718773,0,S=c1[nH]nc(-c2ccccc2)n1/N=C/c1ccccc1
S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,1757.0,3.244771761495295,0,S=c1[nH]nc(-c2ccccc2)n1/N=C/c1ccco1
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CC=C3,1555.0,3.1917303933628562,0,C(=N/N1CNN=C1c1ccccc1)\c1ccccc1
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C(OC)C=C3,1039.0,3.0166155475571776,0,C(=N/N1CNN=C1c1ccccc1)\c1ccccc1
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C([N+]([O-])=O)C=C3,848.0,2.9283958522567137,0,C(=N/N1CNN=C1c1ccccc1)\c1ccccc1
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,1279.0,3.106870544478654,0,C(=N/N1CNN=C1c1ccccc1)\c1cccs1
O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)[O-],539.0,2.7315887651867388,0,C(=N/N1C(c2ccccc2)=NNC1SCc1cn(-c2ccccc2)nn1)\c1ccccc1
O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)=C1)[O-],648.0,2.8115750058705933,0,C(=N/N1C(c2ccccc2)=NNC1SCc1cn(-c2ccccc2)nn1)\c1ccccc1
COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5,371.0,2.569373909615046,0,C(=N/N1C(c2ccccc2)=NNC1SCc1cn(-c2ccccc2)nn1)\c1ccccc1
COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5,658.0,2.8182258936139557,0,C(=N/N1C(c2ccccc2)=NNC1SCc1cn(-c2ccccc2)nn1)\c1ccccc1
O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],555.0,2.7442929831226763,0,C(=N/N1C(c2ccccc2)=NNC1SCc1cn(-c2ccccc2)nn1)\c1ccccc1
O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],569.0,2.7551122663950713,0,C(=N/N1C(c2ccccc2)=NNC1SCc1cn(-c2ccccc2)nn1)\c1ccccc1
S=C1NN=C(C2CC2)N1C1=CC=C(Cl)C=C1,125.0,2.0969100130080562,0,S=c1[nH]nc(C2CC2)n1-c1ccccc1
S=C1NN=C(C2CCCCC2)N1C1=CC=C(Cl)C=C1,62.5,1.7958800173440752,0,S=c1[nH]nc(C2CCCCC2)n1-c1ccccc1
S=C1N(CN2CCCC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,500.0,2.6989700043360187,0,S=c1n(CN2CCCC2)nc(C2CCCC2)n1-c1ccccc1
S=C1N(CN2CCN(CCO)CC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,1000.0,3.0,0,S=c1n(CN2CCNCC2)nc(C2CCCC2)n1-c1ccccc1
S=C1N(CN2CCNCC2)N=C(C3CCCCC3)N1C4=CC=C(Cl)C=C4,125.0,2.0969100130080562,0,S=c1n(CN2CCNCC2)nc(C2CCCCC2)n1-c1ccccc1
S=C1N(CN2CCCCC2)N=C(C3=CC=CN=C3)N1C4=CC=CC=C4,500.0,2.6989700043360187,0,S=c1n(CN2CCCCC2)nc(-c2cccnc2)n1-c1ccccc1
S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4=CC=CN=C4)N1C5=CC=CC=C5,500.0,2.6989700043360187,0,S=c1n(CN2CCN(c3ccccc3)CC2)nc(-c2cccnc2)n1-c1ccccc1
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CO4)=NN=C3C5=CC=CC6=CC=CC=C65,64.0,1.806179973983887,0,C1=CC(CCCc2nnc(-c3cccc4ccccc34)n2/N=C/c2ccco2)c2ccccc21
CCN1C(SCC2=CC(=O)OC3=C(C)C=C(C)C=C23)=NN=C1C1=CC=CS1,2.5,0.3979400086720376,1,O=c1cc(CSc2nnc(-c3cccs3)[nH]2)c2ccccc2o1
O=[N+]([O-])C1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],8.0,0.9030899869919435,1,O=c1ccc2ccc(OCc3cn(Cc4ccccc4)nn3)cc2o1
[H]C1=CC=C(C=C1[N+]([O-])=O)CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,8.0,0.9030899869919435,1,O=c1ccc2ccc(OCc3cn(Cc4ccccc4)nn3)cc2o1
ClC1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],8.0,0.9030899869919435,1,O=c1ccc2ccc(OCc3cn(Cc4ccccc4)nn3)cc2o1
[H]C1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1Cl,16.0,1.2041199826559248,1,O=c1ccc2ccc(OCc3cn(Cc4ccccc4)nn3)cc2o1
BrC1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],16.0,1.2041199826559248,1,O=c1ccc2ccc(OCc3cn(Cc4ccccc4)nn3)cc2o1
[H]C1=CC=C(C=C1[H])CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,8.0,0.9030899869919435,1,O=c1ccc2ccc(OCc3cn(Cc4ccccc4)nn3)cc2o1
