smiles,cytotoxicity,S.aureus,E.Coli,B.Subtilis,E.coli,P.vulgaris,"S.aureus ATCC
25923","M.huteus NCIMB
8166","E.coli ATCC
25922","P.aeruginosa   ATCC
27853",大肠杆菌（μg/ml）,铜绿假单胞菌,普通变形杆菌,M.luteus,MRSA,E.coli(DH52),E.coli JM109,S.dysenterie,P.Aeruginosa,Paeruginosa,Pvulgaris,S.aureus(μg/mL),M.tuberculosis（μg/mL）,"E.Coli
(ug/mL)",P.aeruginosa,P vulgaris,对金黄色葡萄球菌（SA）的 MIC（μg/mL）,对枯草芽孢杆菌（BS）的 MIC（μg/mL）,对大肠杆菌（EC）的 MIC（μg/mL）,金黄色葡萄球菌 ATCC 6538,se12228,Bs6633,Bc10876,M110240,肠杆菌 ATCC 25922,KP3883,PM12453,Pa27853,S. aureus,B. subtilis,E. coli,P. aeruginosa,B. cereus,Micrococcus luteus,BC,PF,FD,Salmonella typhi,B.amyloliquefaciens,Bacillussubtilis,ccusaureus Esch,Proteusvulgaris,Cl. Sporogenes,B.S.,B.C.,P.A.,S.T.,S.P. MTCC 442,"E.Coli MTCC
443",P.A.MTCC 1688,S.pyogenes,S.aureus ATCC 29213,E. faecalis,E. faecium VRE,P. aeurigonsa,A. baumannii,K. pneumoniae ESBL,E. Coli,E. Coli ATCC 25922,K. pneumoniae BAA-1705,A. baumannii BAA-1605,P.aeruginosa ATCC 27853,S. pyogenes,K. pneumoniae,E. coli MRA11,E. coli MRC17,E. coli MRAE33,VRE,E. aerogenes,Bacillus Subtilis,E.faecalis,S.boydii,K pneumoniae,MicrococcusluteusMTCC2470.,StaphylococcusaureusMTCC96.,StaphylococcusaureusMLS-16MTCC2940.,BacillussubtilisMTCC121.,EscherichiacoliMTCC739.,PseudomonasaeruginosaMTCC2453.,KlebsiellaplanticolaMTCC530.
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=CC=C4)N=N3)=O,低毒,,,,,,,,,,,,,,,,,,,,,6.25,1.6,12.5,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(C#N)C=C4)N=N3)=O,低毒,,,,,,,,,,,,,,,,,,,,,6.25,1.6,6.25,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1(C2=CN(CC3=CN(C4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,中毒,25,,25,50,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,中毒,6.25,,3.125,6.25,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,中毒,3.125,,6.25,6.25,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1,中毒,25,,50,25,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,中毒,50,,25,25,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,中毒,50,,50,50,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,中毒,12.5,,12.5,25,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+](C1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)[O-],中毒,3.125,,3.125,3.125,,,,,,,,,,,,,,,,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC(C1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1)(F)F,中毒,25,,50,50,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1(C2=CN(CC3=CN(CC4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,中毒,12.5,,12.5,25,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCC2)N2CCCC2)N=N1,中毒,63.705,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCCC2)N2CCCCC2)N=N1,中毒,63.707,,-,63.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCOCC2)N2CCOCC2)N=N1,中毒,-,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN1CCN(N(C(=S)SCC2=CN(CCCN3C(=O)C4=CC=CC5=CC=CC(=C54)C3=O)N=N2)N2CCN(C)CC2)CC1,中毒,127.946,,319.618,63.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCN(C3=CC=CC=C3)CC2)N2CCN(C3=CC=CC=C3)CC2)N=N1,中毒,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(N5CCCC5)N5CCCC5)N=N4)C=CC(=C23)C1=O,中毒,31.9124,,15.9562,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCCCC5)N5CCCCC5)N=N4)C=CC(=C23)C1=O,中毒,16.002,,31.9532,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)CCN1C(=O)C2=CC=C(N3C=C(CSC(=S)N(C4CCOCC4)N4CCOCC4)N=N3)C3=CC=CC(=C23)C1=O,中毒,15.963,,8.007,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCN(C)CC5)N5CCN(C)CC5)N=N4)C=CC(=C23)C1=O,中毒,63.928,,3.9824,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)CCN1C(=O)C2=CC=C(N3C=C(CSC(=S)N(C4CCN(C5=CC=CC=C5)CC4)N4CCN(C5=CC=CC=C5)CC4)N=N3)C3=CC=CC(=C23)C1=O,中毒,-,,63.874,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1NN=C(C2=CC=CS2)N1C3=CC=C(F)C=C3,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1NN=C(C2=CC=C(Br)S2)N1C3=CC=C(Br)C=C3,中毒,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.5,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,1.2,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,5,ND,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.4,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,3.4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCN(C)CC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.2,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5Br,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,ND,18.5,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC1=CC(Br)=C(N2C(N(CN3CCN(C4=CC=CC=C4OC)CC3)N=C2C5=CC=CS5)=S)C=C1,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCC(C3=CC=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,ND,18.2,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CC3=C(C=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,18,8.2,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN(C)C2=CC=CC=C2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,中毒,,,,,,,,,,,,,,,,,,,,,,,,,,ND,12.4,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(N)C(C2=CC=CC=C2)=NN1,低毒,4302,2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(/N=C/C2=CC=CC=C2)C(C3=CC=CC=C3)=NN1,低毒,2176,1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C[o]C1=CC=C(/C=N/N(C(C2=CC=CC=C2)=NN3)C3=S)C=C1,低毒,1389,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+]([O-])C1=CC=C(/C=N/N2C(=S)NN=C2C2=CC=CC=C2)C=C1,低毒,977,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,低毒,1757,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,低毒,1425,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CC=C3,低毒,1555,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C(OC)C=C3,低毒,1039,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C([N+]([O-])=O)C=C3,低毒,848,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,低毒,1518,1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,低毒,1279,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)[O-],低毒,539,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)=C1)[O-],低毒,648,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5,低毒,371,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5,低毒,658,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],低毒,555,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],中毒,569,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CO5)=C2)[O-],低毒,662,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CO5)=C2)=C1)[O-],低毒,991,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CS5)=C2)[O-],低毒,598,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CS5)=C2)=C1)[O-],低毒,635,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1NN=C(C2CC2)N1C1=CC=C(Cl)C=C1,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,62.5,125,125,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1NN=C(C2CCCCC2)N1C1=CC=C(Cl)C=C1,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,125,125,125,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCCC2)N=C(C3CC3)N1C4=CC=C(Cl)C=C4,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,250,250,250,125,1000,500,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCCCC2)N=C(C3CC3)N1C4=CC=C(Cl)C=C4,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,250,250,250,125,1000,500,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4CC4)N1C5=CC=C(Cl)C=C5,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCCC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCCCC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,125,62.5,1000,500,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCN(CCO)CC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,125,125,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4CCCC4)N1C5=CC=C(Cl)C=C5Cl,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,＞1000,500,250,500,250,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCNCC2)N=C(C3CCCCC3)N1C4=CC=C(Cl)C=C4,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,125,125,62.6,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCCC2)N=C(C2=CC=CN=C2)N1C1=CC=CC=C1,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,1000,500,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCCCC2)N=C(C3=CC=CN=C3)N1C4=CC=CC=C4,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,1000,250,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4=CC=CN=C4)N1C5=CC=CC=C5,低毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500,1000,500,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC(O)=C4)=NN=C3C5=CC=CC6=CC=CC=C65,中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>128,>128,>128,>128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(Br)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)[N+]([O-])=O)C6=C1C=CC=C6)OC,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)O)C6=C1C=CC=C6)OC,中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>128,>128,>128,>128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(F)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4Cl)=NN=C3C5=CC=CC6=CC=CC=C65,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CO4)=NN=C3C5=CC=CC6=CC=CC=C65,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,>128,32,>128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(Cl)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,8,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)OC)C6=C1C=CC=C6)OC,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,>128,>128,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4O)=NN=C3C5=CC=CC6=CC=CC=C65,中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>128,>128,>128,>128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC(F)=C4)=NN=C3C5=CC=CC6=CC=CC=C65,高毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4)=NN=C3C5=CC=CC6=CC=CC=C65,中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>128,>128,>128,>128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
