,smiles,化合物结构,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,细胞毒性,期刊名、卷、页码,文献原始数据截图,备注,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3)=O,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C(F)C=C4)=O)N=N3)=O,,6.25,1.6,,,,6.25,6.25,,,低毒,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C([N+]([O-])=O)C=C4)=O)N=N3)=O,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=C([N+]([O-])=O)C=C4)=O)N=N3)=O,,6.25,6.25,,,,25,50,,,低毒,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=CC=C4)=O)N=N3)=O,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(CC(C4=CC=CC=C4)=O)N=N3)=O,,12.5,6.25,,,,25,25,,,低毒,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(OC)C=C4)N=N3)=O,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(OC)C=C4)N=N3)=O,,6.25,1.6,,,,12.5,12.5,,,低毒,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=CC=C4)N=N3)=O,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=CC=C4)N=N3)=O,,6.25,1.6,,,,12.5,6.25,,,低毒,,,,,
,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(C#N)C=C4)N=N3)=O,ClC1=NC2=CC=C(OC)C=C2C=C1C(NCC3=CN(C4=CC=C(C#N)C=C4)N=N3)=O,,6.25,1.6,,,,6.25,6.25,,,低毒,,,,多的EC50,
1511,,,,,,,,,,,,,," Antibiotics 2021, 10, 913.",,,,
,,,36 R1=H，R2=i-pent，R3=Bn,32,32,128,128,,128,64,16,,中毒,,,,,
,,,37 R1=i-pent，R2=H，R3=Cy,16,32,64,64,,64,16,8,,中毒,,,,,
,,,38 R1=i-pent，R2=H，R3=CH₂Cy,128,128,128,>128,,>128,>128,128,,中毒,,,,,
,,,39 R1=i-pent，R2=H，R3=Bn,32,64,64,32,,128,32,16,,中毒,,,,,
,,,40 R1=H，R2=i-pent，R3=Cy,16,16,8,8,,64,32,16,,中毒,,,,,
,,,41 R1=H，R2=i-pent，R3=CH₂Cy,8,8,16,16,,128,8,16,,中毒,,,,,
,,,42 R1=H，R2=i-pent，R3=Bn,8,8,8,8,,32,8,8,,中毒,,,,,
,,,43 R1=i-pent，R2=H，R3=Cy,16,16,128,128,,64,64,4,,中毒,,,,,
,,,44 R1=i-pent，R2=H，R3=CH₂Cy,8,4,32,32,,64,16,4,,中毒,,,,,
,,,45 R1=i-pent，R2=H，R3=Bn,16,16,128,128,,128,64,4,,中毒,,,,,
,,,46 R1=None，R2=None，R3=Bn,32,32,128,128,,128,64,16,,中毒,,,,,
,,,47 R1=None，R2=None，R3=Bn,32,32,128,128,,128,64,16,,中毒,,,,,
,,,48 R1=None，R2=None，R3=Cy,>32,＞32,＞32,＞32,,＞32,＞32,＞32,,中毒,,,,,
,,,49 R1=None，R2=None，R3=CH₂Cy,32,＞32,＞32,＞32,,＞32,＞32,＞32,,中毒,,,,,
,,,50 R1=None，R2=None，R3=Bn,32,＞32,＞32,＞32,,＞32,＞32,＞32,,中毒,,,,,
1516,,,,S.aureus,B.subtilis,,,,    E.coli,P vulgaris,,,,"Mol Divers 22, 769–778 (2018)",,,,
,C1(C2=CN(CC3=CN(C4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,C1(C2=CN(CC3=CN(C4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,4a Ar=phenyl（苯基）,25,25,,,,50,25,,,中毒,,,,,
,ClC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,ClC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,4b Ar=2 - chlorophenyl（2 - 氯苯基）,6.25,3.125,,,,6.25,6.25,,,中毒,,,,,
,ClC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,ClC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,4c Ar=4 - chlorophenyl（4 - 氯苯基）,3.125,6.25,,,,6.25,6.25,,,中毒,,,,,
,CC1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1,CC1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1,4d Ar=3 - methylphenyl（3 - 甲基苯基）,25,50,,,,25,12.5,,,中毒,,,,,
,CC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,CC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,4e Ar=4 - methylphenyl（4 - 甲基苯基）,50,25,,,,25,25,,,中毒,,,,,
,COC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,COC1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2,4f Ar=2 - methoxyphenyl（2 - 甲氧基苯基）,50,50,,,,50,25,,,中毒,,,,,
,COC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,COC1=CC=C(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)C=C1,4g Ar=4 - methoxyphenyl（4 - 甲氧基苯基）,12.5,12.5,,,,25,50,,,中毒,,,,,
,O=[N+](C1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)[O-],O=[N+](C1=CC=CC=C1N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)[O-],4h Ar=2 - nitrophenyl（2 - 硝基苯基）,3.125,3.125,,,,3.125,6.25,,,中毒,,,,,
,FC(C1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1)(F)F,FC(C1=CC(N2N=NC(CN3C=C(C4=NC5=CC=CC=C5N4)C6=C3C=CC=C6)=C2)=CC=C1)(F)F,4i Ar=3 - (trifluoromethyl) phenyl（3 - 三氟甲基苯基）,25,50,,,,50,50,,,中毒,,,,,
,C1(C2=CN(CC3=CN(CC4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,C1(C2=CN(CC3=CN(CC4=CC=CC=C4)N=N3)C5=C2C=CC=C5)=NC6=CC=CC=C6N1,4j Ar=benzyl（苄基）,12.5,12.5,,,,25,12.5,,,中毒,,,,,
1540,,,, S.aureus,B.subtilis,,,,E.coli,,,,, Journal of Chemical Research，March-April 2021: 258 –264,,,,
,,,,-,-,,,,,,,,,,,,,
,O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCC2)N2CCCC2)N=N1,O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCC2)N2CCCC2)N=N1,5a：NR1R2 = pyrrolidinyl,63.705,-,,,,-,,,,中毒,,,,,
,O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCCC2)N2CCCCC2)N=N1,O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCCCC2)N2CCCCC2)N=N1,5b：NR1R2 = piperidinyl,63.707,-,,,,63.707,,,,中毒,,,,,
,O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCOCC2)N2CCOCC2)N=N1,O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCOCC2)N2CCOCC2)N=N1,5c：NR1R2 = morpholinyl,-,-,,,,-,,,,中毒,,,,,
,CN1CCN(N(C(=S)SCC2=CN(CCCN3C(=O)C4=CC=CC5=CC=CC(=C54)C3=O)N=N2)N2CCN(C)CC2)CC1,CN1CCN(N(C(=S)SCC2=CN(CCCN3C(=O)C4=CC=CC5=CC=CC(=C54)C3=O)N=N2)N2CCN(C)CC2)CC1,5d：NR1R2 = 4-methylpiperazin-1-yl,127.946,319.618,,,,63.726,,,,高毒,,,,,
,O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCN(C3=CC=CC=C3)CC2)N2CCN(C3=CC=CC=C3)CC2)N=N1,O=C1C2=CC=CC3=CC=CC(=C32)C(=O)N1CCCN1C=C(CSC(=S)N(N2CCN(C3=CC=CC=C3)CC2)N2CCN(C3=CC=CC=C3)CC2)N=N1,5e：NR1R2 = 4-phenylpiperazin-1-yl,,,,,,-,,,,中毒,,,,,
,,,,-,-,,,,,,,,,,,,,
,CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(N5CCCC5)N5CCCC5)N=N4)C=CC(=C23)C1=O,CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(N5CCCC5)N5CCCC5)N=N4)C=CC(=C23)C1=O,7a：NR1R2 = pyrrolidinyl,31.9124,15.9562,,,,-,,,,中毒,,,,,
,CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCCCC5)N5CCCCC5)N=N4)C=CC(=C23)C1=O,CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCCCC5)N5CCCCC5)N=N4)C=CC(=C23)C1=O,7b：NR1R2 = piperidinyl,16.002,31.9532,,,,-,,,,中毒,,,,,
,CN(C)CCN1C(=O)C2=CC=C(N3C=C(CSC(=S)N(C4CCOCC4)N4CCOCC4)N=N3)C3=CC=CC(=C23)C1=O,CN(C)CCN1C(=O)C2=CC=C(N3C=C(CSC(=S)N(C4CCOCC4)N4CCOCC4)N=N3)C3=CC=CC(=C23)C1=O,7c：NR1R2 = morpholinyl,15.963,8.007,,,,-,,,,中毒,,,,,
,CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCN(C)CC5)N5CCN(C)CC5)N=N4)C=CC(=C23)C1=O,CN(C)CCN1C(=O)C2=CC=CC3=C(N4C=C(CSC(=S)N(C5CCN(C)CC5)N5CCN(C)CC5)N=N4)C=CC(=C23)C1=O,7d：NR1R2 = 4-methylpiperazin-1-yl,63.928,3.9824,,,,-,,,,高毒,,,,,
,CN(C)CCN1C(=O)C2=CC=C(N3C=C(CSC(=S)N(C4CCN(C5=CC=CC=C5)CC4)N4CCN(C5=CC=CC=C5)CC4)N=N3)C3=CC=CC(=C23)C1=O,CN(C)CCN1C(=O)C2=CC=C(N3C=C(CSC(=S)N(C4CCN(C5=CC=CC=C5)CC4)N4CCN(C5=CC=CC=C5)CC4)N=N3)C3=CC=CC(=C23)C1=O,7e：NR1R2 = 4-phenylpiperazin-1-yl,-,63.874,,,,-,,,,中毒,,,,,
1546,,,,S.aureus,,,,,E.coli,,,,,"New J. Chem., 2023, 47, 11800",,,,
,,,12a 4-Methoxy-3-(2-(piperidin-1-yl)ethoxy),2.97×10⁻³,,,,,2.97×10⁻³,,,,高毒,,,,,
,,,12b 4-Ethoxy-3-(2-(piperidin-1-yl)ethoxy),3.79×10⁻¹,,,,,1.19×10⁻²,,,,高毒,,,,,
,,,12c 4-(2-(Piperidin-1-yl)ethoxy),2.42×10⁻²,,,,,3.68×10⁻¹,,,,高毒,,,,,
,,,"12d 3,5-Dimethoxy-4-(2-(piperidin-1-yl)ethoxy)",3.03×10⁻³,,,,,6.25×10⁻³,,,,高毒,,,,,
,,,12e 3-Methoxy-4-(2-(piperidin-1-yl)ethoxy),3.80×10⁻¹,,,,,9.83×10⁻²,,,,高毒,,,,,
,,,12f 3-Ethoxy-4-(2-(piperidin-1-yl)ethoxy),3.94×10⁻¹,,,,,3.88×10⁻¹,,,,高毒,,,,,
,,,12g 3-Ethoxy-5-nitro-4-(2-(piperidin-1-yl)ethoxy),3.86×10⁻¹,,,,,4.05×10⁻¹,,,,高毒,,,,,
,,,13a 4-Methoxy-3-(2-morpholinoethoxy),1.84×10⁻¹,,,,,2.31×10⁻²,,,,高毒,,,,,
,,,13b 4-Ethoxy-3-(2-morpholinoethoxy),1.48×10⁻³,,,,,7.07×10⁻⁴,,,,高毒,,,,,
,,,13c 4-(2-Morpholinoethoxy),4.75×10⁻²,,,,,9.50×10⁻²,,,,高毒,,,,,
,,,"13d 3,5-Dimethoxy-4-(2-morpholinoethoxy)",3.81×10⁻¹,,,,,3.81×10⁻¹,,,,高毒,,,,,
,,,13e 3-Methoxy-4-(2-morpholinoethoxy),3.74×10⁻¹,,,,,9.34×10⁻²,,,,高毒,,,,,
,,,13f 3-Ethoxy-4-(2-morpholinoethoxy),3.74×10⁻¹,,,,,4.67×10⁻²,,,,高毒,,,,,
,,,13g 3-Ethoxy-4-(2-morpholinoethoxy)-5-nitro,3.68×10⁻¹,,,,,3.68×10⁻¹,,,,高毒,,,,,
2980,,,,对金黄色葡萄球菌（SA）的 MIC（μg/mL）,对枯草芽孢杆菌（BS）的 MIC（μg/mL）,,,,对大肠杆菌（EC）的 MIC（μg/mL）,,,,,"Pharmaceuticals 2024, 17, 1123",,,,
,S=C1NN=C(C2=CC=CS2)N1C3=CC=C(F)C=C3,S=C1NN=C(C2=CC=CS2)N1C3=CC=C(F)C=C3,5a X=H，Y=4-F，R=None,4,1,,,,ND,,,,高毒,,,,,
,S=C1NN=C(C2=CC=C(Br)S2)N1C3=CC=C(Br)C=C3,S=C1NN=C(C2=CC=C(Br)S2)N1C3=CC=C(Br)C=C3,5e X=Br，Y=4-Br，R=None,3.2,3.5,,,,ND,,,,高毒,,,,,
,S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,6b X=H，Y=O，R=None,3.8,1.2,,,,ND,,,,高毒,,,,,
,S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,6c X=H，Y=S，R=None,5,ND,,,,ND,,,,高毒,,,,,
,S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,6d X=Br，Y=O，R=None,2,3.4,,,,ND,,,,高毒,,,,,
,S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,6e X=Br，Y=S，R=None,4.8,3.4,,,,24,,,,高毒,,,,,
,S=C1N(CN2CCN(C)CC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,S=C1N(CN2CCN(C)CC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,7a X=H，Y=None，R=CH₃,3.2,4.2,,,,22.4,,,,高毒,,,,,
,S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5Br,S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5Br,7c X=Br，Y=None，R=C₆H₅,ND,18.5,,,,ND,,,,高毒,,,,,
,FC1=CC(Br)=C(N2C(N(CN3CCN(C4=CC=CC=C4OC)CC3)N=C2C5=CC=CS5)=S)C=C1,FC1=CC(Br)=C(N2C(N(CN3CCN(C4=CC=CC=C4OC)CC3)N=C2C5=CC=CS5)=S)C=C1,7d X=Br，Y=None，R=2-CH₃OC₆H₄,2.1,1,,,,ND,,,,高毒,,,,,
,S=C1N(CN2CCC(C3=CC=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5,S=C1N(CN2CCC(C3=CC=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5,8 X=None，Y=None，R=None,ND,18.2,,,,ND,,,,高毒,,,,,
,S=C1N(CN2CC3=C(C=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5,S=C1N(CN2CC3=C(C=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5,9 X=None，Y=None，R=None,18,8.2,,,,ND,,,,高毒,,,,,
,S=C1N(CN(C)C2=CC=CC=C2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,S=C1N(CN(C)C2=CC=CC=C2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,10a X=None，Y=None，R=CH₃,ND,12.4,,,,ND,,,,高毒,,,,,
1406,,,,化合物,MIC（μg/mL） against MTB H37Rv,MIC（μg/mL） against MTB Spec.192,MIC（μg/mL） against MTB Spec.210,,,,,,,Bioorganic Chemistry 100（2020） 103955,,,,
,,,7h：R = H，X = H，Y = H,7h,60.71,60.71,60.71,,,,,,中毒,,,,,
,,,7i：R = H，X = H，Y = H,7i,59.19,59.19,59.19,,,,,,中毒,,,,,
,,,7j：R = H，X = H，Y = H,7j,59.19,59.19,59.19,,,,,,中毒,,,,,
,,,,,,,,,,,,,,,,,,
,,,8a：R = H，X = Cl，Y = H,8a,30.35,30.35,30.35,,,,,,中毒,,,,,
,,,8e：R = H，X = Cl，Y = H,8e,50.94,50.94,>203.76,,,,,,微毒,,,,,
,,,8f：R = H，X = Cl，Y = H,8f,54.72,54.72,54.72,,,,,,微毒,,,,,
,,,8i：R = H，X = Cl，Y = H,8i,54.72,54.72,109.44,,,,,,微毒,,,,,
,,,8l：R = H，X = Cl，Y = H,8l,52,52,52,,,,,,微毒,,,,,
,,,,,,,,,,,,,,,,,,
,,,9b：R = H，X = Cl，Y = Cl,9b,53.85,53.85,53.85,,,,,,中毒,,,,,
,,,9c：R = H，X = Cl，Y = Cl,9c,52,52,52,,,,,,中毒,,,,,
,,,9d：R = H，X = Cl，Y = Cl,9d,47.6,47.6,47.6,,,,,,微毒,,,,,
2623,,,,S.aureus,,,,,E.Coli,,,,,"Russian Journal of General Chemistry,2020,90(12):2419–2434",,,,
1,S=C1N(N)C(C2=CC=CC=C2)=NN1,S=C1N(N)C(C2=CC=CC=C2)=NN1,,4302,,,,,2559,,,,低毒,,,,,
2a,S=C1N(/N=C/C2=CC=CC=C2)C(C3=CC=CC=C3)=NN1,S=C1N(/N=C/C2=CC=CC=C2)C(C3=CC=CC=C3)=NN1,,2176,,,,,1291,,,,低毒,,,,,
2b ,C[o]C1=CC=C(/C=N/N(C(C2=CC=CC=C2)=NN3)C3=S)C=C1,C[o]C1=CC=C(/C=N/N(C(C2=CC=CC=C2)=NN3)C3=S)C=C1,,1389,,,,,1134,,,,低毒,,,,,
2c,O=[N+]([O-])C1=CC=C(/C=N/N2C(=S)NN=C2C2=CC=CC=C2)C=C1,O=[N+]([O-])C1=CC=C(/C=N/N2C(=S)NN=C2C2=CC=CC=C2)C=C1,,977,,,,,959,,,,低毒,,,,,
2d,S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,,1757,,,,,1036,,,,低毒,,,,,
2e,S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,,1425,,,,,1355,,,,低毒,,,,,
3a,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CC=C3,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CC=C3,,1555,,,,,1137,,,,低毒,,,,,
3b,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C(OC)C=C3,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C(OC)C=C3,,1039,,,,,502,,,,低毒,,,,,
3c,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C([N+]([O-])=O)C=C3,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C([N+]([O-])=O)C=C3,,848,,,,,842,,,,低毒,,,,,
3d,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,,1518,,,,,1226,,,,低毒,,,,,
3e,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,,1279,,,,,663,,,,低毒,,,,,
4a,O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)[O-],O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)[O-],,539,,,,,452,,,,低毒,,,,,
4b,O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)=C1)[O-],O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)=C1)[O-],,648,,,,,560,,,,低毒,,,,,
4c,COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5,COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5,,371,,,,,293,,,,低毒,,,,,
4d,COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5,COC(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5,,658,,,,,478,,,,低毒,,,,,
4e,O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC=C([N+]([O-])=O)C=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],,555,,,,,527,,,,低毒,,,,,
4f,O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],O=[N+](C(C=C1)=CC=C1/C=N/N2C(SCC3=CN(C4=CC([N+]([O-])=O)=CC=C4)N=N3)NN=C2C5=CC=CC=C5)[O-],,569,,,,,152,,,,微毒,,,,,
4g,O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CO5)=C2)[O-],O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CO5)=C2)[O-],,662,,,,,131,,,,低毒,,,,,
4h,O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CO5)=C2)=C1)[O-],O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CO5)=C2)=C1)[O-],,991,,,,,193,,,,低毒,,,,,
4i,O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CS5)=C2)[O-],O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CS5)=C2)[O-],,598,,,,,483,,,,低毒,,,,,
4j,O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CS5)=C2)=C1)[O-],O=[N+](C1=CC=CC(N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CS5)=C2)=C1)[O-],,635,,,,,563,,,,低毒,,,,,
2648,,,,金黄色葡萄球菌 ATCC 6538 ,se12228,Bs6633,Bc10876,M110240,肠杆菌 ATCC 25922,KP3883,PM12453,Pa27853,,"Journal of Enzyme Inhibition and Medicinal Chemistry, 29(6): 786–795",,,,
2a,S=C1NN=C(C2CC2)N1C1=CC=C(Cl)C=C1,S=C1NN=C(C2CC2)N1C1=CC=C(Cl)C=C1,,125,62.5,125,125,31.25,,,,,低毒,,,,,
2c,S=C1NN=C(C2CCCCC2)N1C1=CC=C(Cl)C=C1,S=C1NN=C(C2CCCCC2)N1C1=CC=C(Cl)C=C1,,62.5,125,125,125,62.5,,,,,低毒,,,,,
3a,S=C1N(CN2CCCC2)N=C(C3CC3)N1C4=CC=C(Cl)C=C4,S=C1N(CN2CCCC2)N=C(C3CC3)N1C4=CC=C(Cl)C=C4,,500,250,250,250,125,1000,500,1000,1000,低毒,,,,,
3b,S=C1N(CN2CCCCC2)N=C(C3CC3)N1C4=CC=C(Cl)C=C4,S=C1N(CN2CCCCC2)N=C(C3CC3)N1C4=CC=C(Cl)C=C4,,500,250,250,250,125,1000,500,1000,1000,低毒,,,,,
3e,S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4CC4)N1C5=CC=C(Cl)C=C5,S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4CC4)N1C5=CC=C(Cl)C=C5,,500,500,500,500,500,,500,,,低毒,,,,,
4a,S=C1N(CN2CCCC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,S=C1N(CN2CCCC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,,500,500,500,500,500,,500,,,低毒,,,,,
4b,S=C1N(CN2CCCCC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,S=C1N(CN2CCCCC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,,500,500,500,125,62.5,1000,500,1000,1000,低毒,,,,,
4d,S=C1N(CN2CCN(CCO)CC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,S=C1N(CN2CCN(CCO)CC2)N=C(C3CCCC3)N1C4=CC=C(Cl)C=C4Cl,,1000,1000,1000,125,125,,500,,,低毒,,,,,
4e,S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4CCCC4)N1C5=CC=C(Cl)C=C5Cl,S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4CCCC4)N1C5=CC=C(Cl)C=C5Cl,,＞1000,500,250,500,250,,500,,,低毒,,,,,
