,smiles,化合物结构,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,细胞毒性,期刊名、卷、页码,文献原始数据截图,备注,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)OC2=O,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)OC2=O,"4f, 2,4,5-Cl₃C₆H₄",124.555,249.11,,,,124.555,249.11,,,高毒,,,,,
,O=C(OC1=O)N(CC2=CN(C3=CC=C(C(Cl)=C3)Cl)N=N2)C4=C1C=CC=C4,O=C(OC1=O)N(CC2=CN(C3=CC=C(C(Cl)=C3)Cl)N=N2)C4=C1C=CC=C4,"4g, 3,4-Cl₂C₆H₄",137.55,279.03,,,,137.55,137.55,,,高毒,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC([N+]([O-])=O)=C4)OC2=O,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=CC([N+]([O-])=O)=C4)OC2=O,"4h, 3-NO₂C₆H₄",146,292,,,,146,146,,,高毒,,,,,
,O=C(OC1=O)N(CC2=CN(C3=CC=C([N+]([O-])=O)C=C3)N=N2)C4=C1C=CC=C4,O=C(OC1=O)N(CC2=CN(C3=CC=C([N+]([O-])=O)C=C3)N=N2)C4=C1C=CC=C4,"4i, 4-NO₂C₆H₄",146,73,,,,292,146,,,高毒,,,,,
,O=C(NC1=O)C2=C(C=CC=C2)N1CC3=CN=NN3C4=CC=CC=C4,O=C(NC1=O)C2=C(C=CC=C2)N1CC3=CN=NN3C4=CC=CC=C4,"5a, C₆Hs",163.2,329.6,,,,329.6,163.2,,,高毒,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN=NN3C4=CC=C(C)C=C4)NC2=O,O=C(N(C1=C2C=CC=C1)CC3=CN=NN3C4=CC=C(C)C=C4)NC2=O,"5b, 4-MeC₆H₄",156.98,313.96,,,,156.98,156.98,,,高毒,,,,,
,O=C(NC1=O)N(CC2=CN(C3=CC=C(C=C3)OC)N=N2)C4=C1C=CC=C4,O=C(NC1=O)N(CC2=CN(C3=CC=C(C=C3)OC)N=N2)C4=C1C=CC=C4,"5c, 4-OMeC₆H₄",150.5,301,,,,301,150.5,,,高毒,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=C(C=CC=C4)Cl)NC2=O,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=C(C=CC=C4)Cl)NC2=O,"5d, 2-CIC₆H₄",149.73,299.46,,,,299.46,74.865,,,高毒,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=CC=C4)NC2=O,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=CC=C4)NC2=O,"5e, 3-CIC₆H₄",149.73,299.46,,,,299.46,149.73,,,高毒,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)NC2=O,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC(Cl)=C(Cl)C=C4Cl)NC2=O,"5f, 2,4,5-Cl₃C₆H₄",249.11,249.11,,,,249.11,124.555,,,高毒,,,,,
,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(Cl)C=C4)NC2=O,O=C(N(C1=C2C=CC=C1)CC3=CN(N=N3)C4=CC=C(Cl)C=C4)NC2=O,"5j, 4-CIC₆H₄",181.23,362.46,,,,181.23,181.23,,,高毒,,,,多的IC50,
1358,,,,金黄色葡萄球菌（μg/ml）,,,,,大肠杆菌（μg/ml）,铜绿假单胞菌,普通变形杆菌,,,Journal of Molecular Structure 1242 (2021) 130786 ,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3)N=N2)=C1)=O,7a -C₆H₅(苯基),50.00 ± 0.26,,,,,50.00 ± 0.06,50.00 ± 0.13,50.00 ± 0.26,,高毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3F)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3F)N=N2)=C1)=O,7b -C₆H₄-2-F (邻氟苯基),999.42 ± 0.58,,,,,49.99 ± 0.10,99.95 ± 0.07,99.95 ± 0.17,,中毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(F)=C3)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(F)=C3)N=N2)=C1)=O,7c -C₆H₄-3-F (间氟苯基),999.42 ± 0.41,,,,,99.95 ± 0.34,49.99 ± 0.41,49.99 ± 0.38,,中毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(F)C=C3)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(F)C=C3)N=N2)=C1)=O,7d -C₆H₄-4-F (对氟苯基),999.42 ± 0.65,,,,,99.95 ± 0.07,49.99 ± 0.10,49.99 ± 0.34,,高毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3Cl)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3Cl)N=N2)=C1)=O,7e -C₆H₄-2-Cl (邻氯苯基),-,,,,,-,-,-,,高毒,,,,,
